gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
ANA201904040,TEX,1,0,0,2,2,0,0,choos001,L,harvm001,R,,,,HP,T,F,9,1,16,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,T,F
ANA201904040,TEX,1,0,0,1,2,0,0,odorr001,L,harvm001,R,choos001,,,K,F,F,4,2,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,harvm001,,,F,F
ANA201904040,TEX,1,0,1,1,2,0,0,andre001,R,harvm001,R,choos001,,,S9/L.1-2,F,F,10,3,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,harvm001,,,F,F
ANA201904040,TEX,1,0,1,0,0,0,0,gallj002,L,harvm001,R,andre001,choos001,,HR/8/F.2-H;1-H,F,F,7,4,23,T,T,4,F,F,0,3,F,F,0,4,4,4,0,F,F,F,harvm001,harvm001,,F,F
ANA201904040,TEX,1,0,1,3,0,3,0,cabra002,L,harvm001,R,,,,W,F,F,5,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
ANA201904040,TEX,1,0,1,1,2,3,0,guzmr001,L,harvm001,R,cabra002,,,HR.1-H,F,F,3,6,23,T,T,4,F,F,0,2,F,F,0,4,4,0,0,F,F,F,harvm001,,,F,F
ANA201904040,TEX,1,0,1,1,2,5,0,forsl001,R,harvm001,R,,,,K,F,F,6,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
ANA201904040,TEX,1,0,2,0,1,5,0,kinei001,R,harvm001,R,,,,S7/G,F,F,2,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
ANA201904040,TEX,1,0,2,1,2,5,0,deshd002,R,harvm001,R,kinei001,,,K,F,F,8,9,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,harvm001,,,F,F
ANA201904040,TEX,1,1,0,3,1,5,0,calhk001,L,volqe001,R,,,,HR/89/F,T,F,9,1,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
