gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
BOS201904090,TOR,1,0,0,1,2,0,0,galvf001,R,salec001,L,,,,9/F,T,F,6,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
BOS201904090,TOR,1,0,1,2,2,0,0,hernt002,R,salec001,L,,,,63/G,F,F,7,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,1,0,2,1,0,0,0,drurb001,R,salec001,L,,,,8/F,F,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,1,1,0,2,2,0,0,benia002,L,shoem001,R,,,,K,T,F,7,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,1,1,1,2,1,0,0,bettm001,R,shoem001,R,,,,53/G,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,1,1,2,2,2,0,0,morem001,L,shoem001,R,,,,HR/9/L,F,F,3,3,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,1,1,2,3,2,0,1,martj006,R,shoem001,R,,,,K,F,F,10,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,2,0,0,2,1,0,1,gricr001,R,salec001,L,,,,53/G,T,F,8,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,2,0,1,0,2,0,1,jansd001,R,salec001,L,,,,7/L,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,2,0,2,2,2,0,1,gurrl001,R,salec001,L,,,,K,F,F,10,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,2,1,0,0,2,0,1,bogax001,R,shoem001,R,,,,3E1/G,T,F,6,5,2,T,T,0,F,F,0,0,F,F,1,1,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,2,1,0,1,0,0,1,dever001,L,shoem001,R,bogax001,,,S9/G.1-3,F,F,5,6,20,T,T,1,F,F,0,0,F,F,0,1,3,0,0,F,F,F,shoem001,,,F,F
BOS201904090,TOR,2,1,0,1,0,0,1,pedrd001,R,shoem001,R,dever001,,bogax001,64(1)3/GDP.3-H(UR)(NR),F,F,4,7,2,T,T,0,F,F,2,0,F,F,0,0,0,0,5,F,F,F,shoem001,,shoem001,F,F
BOS201904090,TOR,2,1,2,2,2,0,2,bradj001,L,shoem001,R,,,,K,F,F,8,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,3,0,0,1,2,0,2,urenr001,R,salec001,L,,,,K,T,F,4,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,3,0,1,0,2,0,2,hansa001,R,salec001,L,,,,S7/G,F,F,3,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,3,0,1,0,1,0,2,mckib001,L,salec001,L,hansa001,,,S9/G.1-2,F,F,9,9,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,salec001,,,F,F
BOS201904090,TOR,3,0,1,0,0,0,2,galvf001,R,salec001,L,mckib001,hansa001,,S9/G.2-H;1-3,F,F,6,1,20,T,T,1,F,F,0,1,F,F,0,1,3,4,0,F,F,F,salec001,salec001,,F,F
BOS201904090,TOR,3,0,1,3,1,1,2,hernt002,R,salec001,L,galvf001,,mckib001,8/L/SF.3-H,F,F,7,2,2,T,F,0,F,T,1,1,F,F,0,0,1,0,4,F,F,F,salec001,,salec001,F,F
BOS201904090,TOR,3,0,2,0,1,2,2,drurb001,R,salec001,L,galvf001,,,53/G,F,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,salec001,,,F,F
BOS201904090,TOR,3,1,0,1,1,2,2,vazqc001,R,shoem001,R,,,,S7/G,T,F,2,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,3,1,0,0,2,2,2,benia002,L,shoem001,R,vazqc001,,,8/F+,F,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,shoem001,,,F,F
BOS201904090,TOR,3,1,1,1,2,2,2,bettm001,R,shoem001,R,vazqc001,,,CS2(24),F,F,9,2,6,F,F,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,shoem001,,,F,F
BOS201904090,TOR,3,1,2,2,2,2,2,bettm001,R,shoem001,R,,,,63/G+,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,4,0,0,2,2,2,2,gricr001,R,salec001,L,,,,S7/G,T,F,8,4,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
BOS201904090,TOR,4,0,0,0,2,2,2,jansd001,R,salec001,L,gricr001,,,S9/G.1-2,F,F,2,5,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,salec001,,,F,F
BOS201904090,TOR,4,0,0,0,0,2,2,gurrl001,R,salec001,L,jansd001,gricr001,,PB.2-3,F,F,10,6,10,F,F,0,F,F,0,0,F,T,0,0,1,3,0,F,F,F,salec001,salec001,,F,F
BOS201904090,TOR,4,0,0,3,2,2,2,gurrl001,R,salec001,L,jansd001,,gricr001,S9/L.3-H;1-2,F,F,10,6,20,T,T,1,F,F,0,1,F,F,0,1,2,0,4,F,F,F,salec001,,salec001,F,F
BOS201904090,TOR,4,0,0,0,2,3,2,urenr001,R,salec001,L,gurrl001,jansd001,,3/BG/SH.2-3;1-2,F,F,4,7,2,T,F,0,T,F,1,0,F,F,0,0,2,3,0,F,F,F,salec001,salec001,,F,F
BOS201904090,TOR,4,0,1,0,2,3,2,hansa001,R,salec001,L,,gurrl001,jansd001,K,F,F,3,8,3,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F,,salec001,salec001,F,F
BOS201904090,TOR,4,0,2,0,0,3,2,mckib001,L,salec001,L,,gurrl001,jansd001,PB.3-H(NR);2-3,F,F,9,9,10,F,F,0,F,F,0,0,F,T,0,0,0,3,4,F,F,F,,salec001,salec001,F,F
BOS201904090,TOR,4,0,2,1,1,4,2,mckib001,L,salec001,L,,,gurrl001,SBH,F,F,9,9,4,F,F,0,F,F,0,0,F,F,0,0,0,0,4,F,F,T,,,salec001,F,F
