gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
CHN201904080,PIT,1,0,0,3,2,0,0,fraza001,L,lestj001,L,,,,K,T,F,4,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
CHN201904080,PIT,1,0,1,2,2,0,0,marts002,R,lestj001,L,,,,K,F,F,8,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,1,0,2,3,2,0,0,cervf001,R,lestj001,L,,,,W,F,F,2,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,1,0,2,2,1,0,0,bellj005,R,lestj001,L,cervf001,,,64(1)/FO/G,F,F,3,4,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F,lestj001,,,F,F
CHN201904080,PIT,1,1,0,3,2,0,0,zobrb001,L,tailj001,R,,,,W,T,F,9,1,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,1,1,0,0,1,0,0,bryak001,R,tailj001,R,zobrb001,,,6/L,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,tailj001,,,F,F
CHN201904080,PIT,1,1,1,2,2,0,0,rizza001,L,tailj001,R,zobrb001,,,K,F,F,3,3,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,tailj001,,,F,F
CHN201904080,PIT,1,1,2,2,2,0,0,baezj001,R,tailj001,R,zobrb001,,,K,F,F,6,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,tailj001,,,F,F
CHN201904080,PIT,2,0,0,1,2,0,0,kangj001,R,lestj001,L,,,,K,T,F,5,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,2,0,1,0,0,0,0,cabrm002,R,lestj001,L,,,,S9/L,F,F,9,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,2,0,1,2,2,0,0,reyep001,R,lestj001,L,cabrm002,,,K,F,F,7,7,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,lestj001,,,F,F
CHN201904080,PIT,2,0,2,2,2,0,0,newmk001,R,lestj001,L,cabrm002,,,8/F+,F,F,6,8,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,lestj001,,,F,F
CHN201904080,PIT,2,1,0,3,2,0,0,schwk001,L,tailj001,R,,,,43/G,T,F,7,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,2,1,1,2,2,0,0,contw001,R,tailj001,R,,,,K,F,F,2,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,2,1,2,3,2,0,0,descd001,L,tailj001,R,,,,E6/TH/G.B-2,F,F,4,7,18,T,T,0,F,F,0,0,F,F,1,2,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,2,1,2,3,0,0,0,heywj001,L,tailj001,R,,descd001,,IW,F,F,8,8,15,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F,,tailj001,,F,F
CHN201904080,PIT,2,1,2,0,2,0,0,lestj001,L,tailj001,R,heywj001,descd001,,D8/L+.2-H(UR);1-3,F,F,1,9,21,T,T,2,F,F,0,1,F,F,0,2,3,5,0,F,F,F,tailj001,tailj001,,F,F
CHN201904080,PIT,2,1,2,1,1,0,1,zobrb001,L,tailj001,R,,lestj001,heywj001,S9/G.3-H(UR);2-H(UR),F,F,9,1,20,T,T,1,F,F,0,2,F,F,0,1,0,5,5,F,F,F,,tailj001,tailj001,F,F
CHN201904080,PIT,2,1,2,0,1,0,3,bryak001,R,tailj001,R,zobrb001,,,HP.1-2,F,F,5,2,16,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,tailj001,,,F,F
CHN201904080,PIT,2,1,2,1,2,0,3,rizza001,L,tailj001,R,bryak001,zobrb001,,S18/L+.2-H(UR);1-3,F,F,3,3,20,T,T,1,F,F,0,1,F,F,0,1,3,5,0,F,F,F,tailj001,tailj001,,F,F
CHN201904080,PIT,2,1,2,0,2,0,4,baezj001,R,tailj001,R,rizza001,,bryak001,S6/L.3-H(UR);1-2,F,F,6,4,20,T,T,1,F,F,0,1,F,F,0,1,2,0,5,F,F,F,tailj001,,tailj001,F,F
CHN201904080,PIT,2,1,2,0,1,0,5,schwk001,L,tailj001,R,baezj001,rizza001,,E6/G.2-H(UR)(NR);1-3(E6/TH),F,F,7,5,18,T,T,0,F,F,0,0,F,F,2,1,3,5,0,F,F,F,tailj001,tailj001,,F,F
CHN201904080,PIT,2,1,2,0,2,0,6,contw001,R,tailj001,R,schwk001,,baezj001,K,F,F,2,6,3,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,tailj001,,tailj001,F,F
CHN201904080,PIT,3,0,0,2,1,0,6,braus002,L,lestj001,L,,,,S9/L,T,T,11,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CHN201904080,PIT,3,0,0,3,1,0,6,fraza001,L,lestj001,L,braus002,,,S8/L+.1-2,F,F,4,1,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,lestj001,,,F,F
