gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
CIN201903280,PIT,1,0,0,0,0,0,0,fraza001,L,castl003,R,,,,31/G,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
CIN201903280,PIT,1,0,1,0,2,0,0,cabrm002,L,castl003,R,,,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,1,0,2,3,1,0,0,dickc002,L,castl003,R,,,,W,F,F,7,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,1,0,2,0,2,0,0,bellj005,L,castl003,R,dickc002,,,K,F,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,castl003,,,F,F
CIN201903280,PIT,1,1,0,0,0,0,0,winkj002,L,tailj001,R,,,,7/L+,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,1,1,1,1,2,0,0,vottj001,L,tailj001,R,,,,D8/F,F,F,3,2,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,1,1,1,3,2,0,0,puigy001,R,tailj001,R,,vottj001,,K,F,F,9,3,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,tailj001,,F,F
CIN201903280,PIT,1,1,2,0,2,0,0,suare001,R,tailj001,R,,vottj001,,4/P,F,F,5,4,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,tailj001,,F,F
CIN201903280,PIT,2,0,0,2,1,0,0,cervf001,R,castl003,R,,,,8/F,T,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,2,0,1,2,2,0,0,kangj001,R,castl003,R,,,,K,F,F,5,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,2,0,2,1,1,0,0,shucj001,L,castl003,R,,,,8/L,F,F,8,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,2,1,0,0,0,0,0,sches001,L,tailj001,R,,,,43/G,T,F,8,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,2,1,1,0,1,0,0,peraj003,R,tailj001,R,,,,S7/L,F,F,4,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,2,1,1,0,1,0,0,barnt001,L,tailj001,R,peraj003,,,7/L+,F,F,2,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,tailj001,,,F,F
CIN201903280,PIT,2,1,2,0,1,0,0,iglej001,R,tailj001,R,peraj003,,,D7/F.1-H,F,F,6,8,21,T,T,2,F,F,0,1,F,F,0,2,4,0,0,F,F,F,tailj001,,,F,F
CIN201903280,PIT,2,1,2,0,0,0,1,castl003,R,tailj001,R,,iglej001,,53/G,F,F,1,9,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,tailj001,,F,F
CIN201903280,PIT,3,0,0,2,1,0,1,gonze004,R,castl003,R,,,,S8/G,T,F,6,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CIN201903280,PIT,3,0,0,0,0,0,1,tailj001,R,castl003,R,gonze004,,,3/BG/SH.1-2,F,F,1,9,2,T,F,0,T,F,1,0,F,F,0,0,2,0,0,F,F,F,castl003,,,F,F
CIN201903280,PIT,3,0,1,3,1,0,1,fraza001,L,castl003,R,,gonze004,,W,F,F,4,1,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F,,castl003,,F,F
CIN201903280,PIT,3,0,1,0,1,0,1,cabrm002,L,castl003,R,fraza001,gonze004,,7/F,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,castl003,castl003,,F,F
CIN201903280,PIT,3,0,2,0,0,0,1,dickc002,L,castl003,R,fraza001,gonze004,,4/P,F,F,7,3,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,castl003,castl003,,F,F
CIN201903280,PIT,3,1,0,0,1,0,1,winkj002,L,tailj001,R,,,,6/L,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
