gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
CLE201904010,CHA,1,0,0,3,2,0,0,moncy001,L,clevm001,R,,,,K,T,F,5,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
CLE201904010,CHA,1,0,1,2,2,0,0,palkd001,L,clevm001,R,,,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,1,0,2,1,2,0,0,abrej003,R,clevm001,R,,,,K,F,F,10,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,1,1,0,0,0,0,0,martl004,L,novai001,R,,,,D9/L+,T,F,8,1,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,1,1,0,1,2,0,0,ramij003,L,novai001,R,,martl004,,S6/P.2-2,F,F,5,2,20,T,T,1,F,F,0,0,F,F,0,1,0,2,0,F,F,F,,novai001,,F,F
CLE201904010,CHA,1,1,0,1,1,0,0,bauej001,L,novai001,R,ramij003,martl004,,16(1)/FO/G.2-3,F,F,7,3,2,T,T,0,F,F,1,0,F,F,0,1,0,3,0,F,F,F,novai001,novai001,,F,F
CLE201904010,CHA,1,1,1,1,2,0,0,santc002,L,novai001,R,bauej001,,martl004,K,F,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,novai001,,novai001,F,F
CLE201904010,CHA,1,1,2,1,2,0,0,ramih003,R,novai001,R,bauej001,,martl004,K,F,F,10,5,3,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,novai001,,novai001,F,F
CLE201904010,CHA,2,0,0,3,0,0,0,alony001,L,clevm001,R,,,,W,T,F,3,4,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,2,0,0,1,2,0,0,jimee001,R,clevm001,R,alony001,,,K,F,F,7,5,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,clevm001,,,F,F
CLE201904010,CHA,2,0,1,3,2,0,0,castw002,R,clevm001,R,alony001,,,W.1-2,F,F,2,6,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,clevm001,,,F,F
CLE201904010,CHA,2,0,1,0,1,0,0,sancc001,L,clevm001,R,castw002,alony001,,9/F,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,clevm001,clevm001,,F,F
CLE201904010,CHA,2,0,2,2,2,0,0,rondj002,R,clevm001,R,castw002,alony001,,K,F,F,6,8,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,clevm001,clevm001,,F,F
CLE201904010,CHA,2,1,0,1,1,0,0,millb002,L,novai001,R,,,,53/G-,T,F,4,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,2,1,1,0,1,0,0,perer003,R,novai001,R,,,,53/G-,F,F,2,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,2,1,2,2,1,0,0,naqut001,L,novai001,R,,,,6/L,F,F,9,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,3,0,0,3,2,0,0,engea001,R,clevm001,R,,,,4/L+,T,F,8,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,3,0,1,0,0,0,0,moncy001,L,clevm001,R,,,,43/G,F,F,5,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,3,0,2,3,2,0,0,palkd001,L,clevm001,R,,,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,3,1,0,3,2,0,0,stame001,R,novai001,R,,,,53/G,T,F,6,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,3,1,1,1,2,0,0,martl004,L,novai001,R,,,,7/L,F,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,3,1,2,1,1,0,0,ramij003,L,novai001,R,,,,8/F+,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,4,0,0,0,1,0,0,abrej003,R,clevm001,R,,,,3/P-,T,F,10,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,4,0,1,3,2,0,0,alony001,L,clevm001,R,,,,8/F,F,F,3,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,4,0,2,2,2,0,0,jimee001,R,clevm001,R,,,,K,F,F,7,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,4,1,0,3,1,0,0,bauej001,L,novai001,R,,,,W,T,F,7,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,4,1,0,1,1,0,0,santc002,L,novai001,R,bauej001,,,46(1)3/GDP,F,F,3,4,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,novai001,,,F,F
CLE201904010,CHA,4,1,2,0,0,0,0,ramih003,R,novai001,R,,,,S8/L+,F,F,10,5,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,4,1,2,1,1,0,0,millb002,L,novai001,R,ramih003,,,43/G,F,F,4,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,novai001,,,F,F
CLE201904010,CHA,5,0,0,3,2,0,0,castw002,R,clevm001,R,,,,S7/L+,T,F,2,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,5,0,0,1,1,0,0,sancc001,L,clevm001,R,castw002,,,7/L,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,clevm001,,,F,F
CLE201904010,CHA,5,0,1,0,2,0,0,rondj002,R,clevm001,R,castw002,,,K,F,F,6,8,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,clevm001,,,F,F
CLE201904010,CHA,5,0,2,3,2,0,0,engea001,R,clevm001,R,castw002,,,K,F,F,8,9,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,clevm001,,,F,F
CLE201904010,CHA,5,1,0,3,2,0,0,perer003,R,novai001,R,,,,K,T,F,2,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
CLE201904010,CHA,5,1,1,0,0,0,0,naqut001,L,novai001,R,,,,43/G,F,F,9,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
