gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
COL201904050,LAN,1,0,0,1,2,0,0,herne001,R,andet002,L,,,,4/P,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
COL201904050,LAN,1,0,1,3,2,0,0,seagc001,L,andet002,L,,,,W,F,F,6,2,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,1,0,1,0,0,0,0,turnj001,R,andet002,L,seagc001,,,54(1)3/GDP,F,F,5,3,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,1,1,0,3,2,0,0,blacc001,L,maedk001,R,,,,S4/G-,T,F,9,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,1,1,0,1,1,0,0,dahld001,L,maedk001,R,blacc001,,,56(1)/FO/G,F,F,7,2,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F,maedk001,,,F,F
COL201904050,LAN,1,1,1,0,0,0,0,arenn001,R,maedk001,R,dahld001,,,14(1)3/GDP,F,F,5,3,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,maedk001,,,F,F
COL201904050,LAN,2,0,0,1,1,0,0,bellc002,L,andet002,L,,,,63/G,T,F,9,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,2,0,1,0,1,0,0,polla001,R,andet002,L,,,,8/F,F,F,8,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,2,0,2,3,2,0,0,muncm001,L,andet002,L,,,,S8/G,F,F,3,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,2,0,2,1,1,0,0,taylc001,R,andet002,L,muncm001,,,6/L,F,F,7,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,2,1,0,3,2,0,0,stort001,R,maedk001,R,,,,K,T,F,6,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,2,1,1,3,1,0,0,mcmar001,L,maedk001,R,,,,W,F,F,3,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,2,1,1,3,2,0,0,desmi001,R,maedk001,R,mcmar001,,,W.1-2,F,F,8,6,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,maedk001,,,F,F
COL201904050,LAN,2,1,1,0,1,0,0,hampg001,R,maedk001,R,desmi001,mcmar001,,7/L,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,maedk001,maedk001,,F,F
COL201904050,LAN,2,1,2,3,2,0,0,woltt001,L,maedk001,R,desmi001,mcmar001,,7/L,F,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,maedk001,maedk001,,F,F
COL201904050,LAN,3,0,0,3,1,0,0,martr004,R,andet002,L,,,,S57/L,T,F,2,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,3,0,0,1,0,0,0,maedk001,R,andet002,L,martr004,,,14/BG/SH.1-2,F,F,1,9,2,T,F,0,T,F,1,0,F,F,0,0,2,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,3,0,1,2,2,0,0,herne001,R,andet002,L,,martr004,,K,F,F,4,1,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,andet002,,F,F
COL201904050,LAN,3,0,2,0,0,0,0,seagc001,L,andet002,L,,martr004,,S8/L.2-H,F,F,6,2,20,T,T,1,F,F,0,1,F,F,0,1,0,4,0,F,F,F,,andet002,,F,F
COL201904050,LAN,3,0,2,2,1,1,0,turnj001,R,andet002,L,seagc001,,,S9/L.1-2,F,F,5,3,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,3,0,2,1,2,1,0,bellc002,L,andet002,L,turnj001,seagc001,,9/L+,F,F,9,4,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,andet002,andet002,,F,F
COL201904050,LAN,3,1,0,2,2,1,0,andet002,L,maedk001,R,,,,S7/L,T,F,1,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,3,1,0,2,1,1,0,blacc001,L,maedk001,R,andet002,,,S9/G.1-2,F,F,9,1,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,maedk001,,,F,F
COL201904050,LAN,3,1,0,3,1,1,0,dahld001,L,maedk001,R,blacc001,andet002,,W.2-3;1-2,F,F,7,2,14,T,F,0,F,F,0,0,F,F,0,1,2,3,0,F,F,F,maedk001,maedk001,,F,F
COL201904050,LAN,3,1,0,0,1,1,0,arenn001,R,maedk001,R,dahld001,blacc001,andet002,7/F+/SF.3-H,F,F,5,3,2,T,F,0,F,T,1,1,F,F,0,0,1,2,4,F,F,F,maedk001,maedk001,maedk001,F,F
COL201904050,LAN,3,1,1,0,1,1,1,stort001,R,maedk001,R,dahld001,blacc001,,3/L/DP.1X1(3),F,F,6,4,2,T,T,0,F,F,2,0,F,F,0,0,0,2,0,F,F,F,maedk001,maedk001,,F,F
COL201904050,LAN,4,0,0,0,1,1,1,polla001,R,andet002,L,,,,8/F,T,F,8,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,4,0,1,3,2,1,1,muncm001,L,andet002,L,,,,HR/8/F,F,F,3,6,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,4,0,1,1,2,2,1,taylc001,R,andet002,L,,,,K,F,F,7,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,4,0,2,3,2,2,1,martr004,R,andet002,L,,,,W,F,F,2,8,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,4,0,2,0,0,2,1,maedk001,R,andet002,L,martr004,,,5/L,F,F,1,9,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,4,1,0,0,1,2,1,mcmar001,L,maedk001,R,,,,53/G,T,F,3,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,4,1,1,1,2,2,1,desmi001,R,maedk001,R,,,,K,F,F,8,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,4,1,2,1,2,2,1,hampg001,R,maedk001,R,,,,3/P,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,5,0,0,3,2,2,1,herne001,R,andet002,L,,,,W,T,F,4,1,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,5,0,0,0,0,2,1,seagc001,L,andet002,L,herne001,,,S8/G+.1-2,F,F,6,2,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,5,0,0,0,0,2,1,turnj001,R,andet002,L,seagc001,herne001,,D9/F+.2-H;1-3,F,F,5,3,21,T,T,2,F,F,0,1,F,F,0,2,3,4,0,F,F,F,andet002,andet002,,F,F
COL201904050,LAN,5,0,0,0,1,3,1,bellc002,L,andet002,L,,turnj001,seagc001,HR/89/L.3-H;2-H,F,F,9,4,23,T,T,4,F,F,0,3,F,F,0,4,0,4,4,F,F,F,,andet002,andet002,F,F
COL201904050,LAN,5,0,0,2,1,6,1,polla001,R,andet002,L,,,,S5/G-,F,F,8,5,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,5,0,0,3,2,6,1,muncm001,L,estec001,R,polla001,,,4/L/DP.1X1(43),F,F,3,6,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,andet002,,,F,F
COL201904050,LAN,5,0,2,3,2,6,1,pedej001,L,estec001,R,,,,K,F,T,11,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,5,1,0,2,1,6,1,woltt001,L,maedk001,R,,,,S7/L,T,F,2,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
COL201904050,LAN,5,1,0,0,2,6,1,valap001,R,maedk001,R,woltt001,,,FC1/G-.1-3(E1/TH),F,F,4,9,19,T,T,0,F,F,0,0,F,F,1,1,3,0,0,F,F,F,maedk001,,,F,F
