gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
HOU201904050,OAK,1,0,0,3,2,0,0,grosr001,L,mchuc001,R,,,,7/F,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
HOU201904050,OAK,1,0,1,1,2,0,0,chapm001,R,mchuc001,R,,,,53/G,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,1,0,2,0,1,0,0,piscs001,R,mchuc001,R,,,,9/L+,F,F,9,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,1,1,0,1,1,0,0,sprig001,R,montf001,R,,,,63/G,T,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,1,1,1,0,0,0,0,altuj001,R,montf001,R,,,,7/L+,F,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,1,1,2,1,0,0,0,brega001,R,montf001,R,,,,S8/L,F,F,5,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,1,1,2,0,1,0,0,branm003,L,montf001,R,brega001,,,3/G,F,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,montf001,,,F,F
HOU201904050,OAK,2,0,0,2,1,0,0,davik003,R,mchuc001,R,,,,13/G,T,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,2,0,1,0,2,0,0,morak001,L,mchuc001,R,,,,K,F,F,3,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,2,0,2,0,1,0,0,semim001,R,mchuc001,R,,,,S7/L,F,F,6,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,2,0,2,1,2,0,0,profj001,L,mchuc001,R,semim001,,,43/G,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,mchuc001,,,F,F
HOU201904050,OAK,2,1,0,2,2,0,0,corrc001,R,montf001,R,,,,K,T,F,6,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,2,1,1,0,0,0,0,gurry001,R,montf001,R,,,,63/G,F,F,3,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,2,1,2,0,2,0,0,reddj001,L,montf001,R,,,,K,F,F,9,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,3,0,0,1,1,0,0,laurr001,R,mchuc001,R,,,,D7/L,T,F,8,8,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,3,0,0,1,2,0,0,hundn001,R,mchuc001,R,,laurr001,,K,F,F,2,9,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,mchuc001,,F,F
HOU201904050,OAK,3,0,1,3,1,0,0,grosr001,L,mchuc001,R,,laurr001,,W,F,F,7,1,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F,,mchuc001,,F,F
HOU201904050,OAK,3,0,1,2,1,0,0,chapm001,R,mchuc001,R,grosr001,laurr001,,8/F.2-3,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,1,3,0,F,F,F,mchuc001,mchuc001,,F,F
HOU201904050,OAK,3,0,2,3,2,0,0,piscs001,R,mchuc001,R,grosr001,,laurr001,SB2,F,F,9,3,4,F,F,0,F,F,0,0,F,F,0,0,2,0,3,T,F,F,mchuc001,,mchuc001,F,F
HOU201904050,OAK,3,0,2,3,2,0,0,piscs001,R,mchuc001,R,,grosr001,laurr001,W,F,F,9,3,14,T,F,0,F,F,0,0,F,F,0,1,0,2,3,F,F,F,,mchuc001,mchuc001,F,F
HOU201904050,OAK,3,0,2,2,2,0,0,davik003,R,mchuc001,R,piscs001,grosr001,laurr001,K,F,F,10,4,3,T,T,0,F,F,1,0,F,F,0,0,1,2,3,F,F,F,mchuc001,mchuc001,mchuc001,F,F
HOU201904050,OAK,3,1,0,0,1,0,0,chirr001,R,montf001,R,,,,63/G,T,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,3,1,1,3,2,0,0,kempt001,L,montf001,R,,,,W,F,F,10,9,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,3,1,1,2,2,0,0,sprig001,R,montf001,R,kempt001,,,53/G.1-2,F,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,2,0,0,F,F,F,montf001,,,F,F
HOU201904050,OAK,3,1,2,1,2,0,0,altuj001,R,montf001,R,,kempt001,,S6/G.2-3,F,F,4,2,20,T,T,1,F,F,0,0,F,F,0,1,0,3,0,F,F,F,,montf001,,F,F
HOU201904050,OAK,3,1,2,3,0,0,0,brega001,R,montf001,R,altuj001,,kempt001,S8/L.3-H;1-2,F,F,5,3,20,T,T,1,F,F,0,1,F,F,0,1,2,0,4,F,F,F,montf001,,montf001,F,F
HOU201904050,OAK,3,1,2,2,2,0,1,branm003,L,montf001,R,brega001,altuj001,,K,F,F,7,4,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,montf001,montf001,,F,F
HOU201904050,OAK,4,0,0,3,1,0,1,morak001,L,mchuc001,R,,,,W,T,F,3,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,4,0,0,1,2,0,1,semim001,R,mchuc001,R,morak001,,,13/G-.1-2,F,F,6,6,2,T,T,0,F,F,1,0,F,F,0,0,2,0,0,F,F,F,mchuc001,,,F,F
HOU201904050,OAK,4,0,1,1,1,0,1,profj001,L,mchuc001,R,,morak001,,63/G.2-3,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,0,3,0,F,F,F,,mchuc001,,F,F
HOU201904050,OAK,4,0,2,0,1,0,1,laurr001,R,mchuc001,R,,,morak001,S7/L.3-H,F,F,8,8,20,T,T,1,F,F,0,1,F,F,0,1,0,0,4,F,F,F,,,mchuc001,F,F
HOU201904050,OAK,4,0,2,0,0,1,1,hundn001,R,mchuc001,R,laurr001,,,8/F,F,F,2,9,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,mchuc001,,,F,F
HOU201904050,OAK,4,1,0,2,2,1,1,corrc001,R,montf001,R,,,,HR/78/F,T,F,6,5,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,4,1,0,0,1,1,2,gurry001,R,montf001,R,,,,S9/L,F,F,3,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,4,1,0,0,2,1,2,reddj001,L,montf001,R,gurry001,,,S9/G.1-2,F,F,9,7,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,montf001,,,F,F
HOU201904050,OAK,4,1,0,2,2,1,2,chirr001,R,montf001,R,reddj001,gurry001,,K,F,F,2,8,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,montf001,montf001,,F,F
HOU201904050,OAK,4,1,1,0,0,1,2,kempt001,L,montf001,R,reddj001,gurry001,,S9/L.2-3;1-2,F,F,10,9,20,T,T,1,F,F,0,0,F,F,0,1,2,3,0,F,F,F,montf001,montf001,,F,F
HOU201904050,OAK,4,1,1,1,2,1,2,sprig001,R,montf001,R,kempt001,reddj001,gurry001,64(1)3/GDP,F,F,8,1,2,T,T,0,F,F,2,0,F,F,0,0,0,2,3,F,F,F,montf001,montf001,montf001,F,F
HOU201904050,OAK,5,0,0,0,1,1,2,grosr001,L,mchuc001,R,,,,7/F,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,5,0,1,3,2,1,2,chapm001,R,mchuc001,R,,,,7/F,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,5,0,2,3,2,1,2,piscs001,R,mchuc001,R,,,,6/P,F,F,9,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,5,1,0,3,2,1,2,altuj001,R,montf001,R,,,,53/G,T,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,5,1,1,3,1,1,2,brega001,R,montf001,R,,,,W,F,F,5,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,5,1,1,0,0,1,2,branm003,L,montf001,R,brega001,,,8/F,F,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,montf001,,,F,F
HOU201904050,OAK,5,1,2,3,2,1,2,corrc001,R,montf001,R,brega001,,,W.1-2,F,F,6,5,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,montf001,,,F,F
HOU201904050,OAK,5,1,2,1,2,1,2,gurry001,R,montf001,R,corrc001,brega001,,K,F,F,3,6,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,montf001,montf001,,F,F
HOU201904050,OAK,6,0,0,1,1,1,2,davik003,R,mchuc001,R,,,,53/G,T,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,6,0,1,3,2,1,2,morak001,L,mchuc001,R,,,,7/F,F,F,3,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,6,0,2,1,2,1,2,semim001,R,mchuc001,R,,,,K,F,F,6,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,6,1,0,1,0,1,2,reddj001,L,petiy001,R,,,,8/F,T,F,9,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,6,1,1,2,2,1,2,chirr001,R,petiy001,R,,,,63/G,F,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,6,1,2,1,2,1,2,kempt001,L,petiy001,R,,,,K,F,F,10,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,7,0,0,1,1,1,2,profj001,L,rondh001,R,,,,6/P,T,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,7,0,1,0,1,1,2,laurr001,R,rondh001,R,,,,S9/G,F,F,8,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,7,0,1,0,2,1,2,hundn001,R,rondh001,R,laurr001,,,K,F,F,2,9,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,rondh001,,,F,F
HOU201904050,OAK,7,0,2,0,0,1,2,grosr001,L,rondh001,R,laurr001,,,CS2(26),F,F,7,1,6,F,F,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,rondh001,,,F,F
HOU201904050,OAK,7,1,0,3,2,1,2,sprig001,R,wendj001,R,,,,S7/F,T,F,8,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,7,1,0,0,0,1,2,altuj001,R,wendj001,R,sprig001,,,D8/L+.1-H,F,F,4,2,21,T,T,2,F,F,0,1,F,F,0,2,4,0,0,F,F,F,wendj001,,,F,F
HOU201904050,OAK,7,1,0,3,2,1,3,brega001,R,wendj001,R,,altuj001,,K,F,F,5,3,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,wendj001,,F,F
HOU201904050,OAK,7,1,1,3,2,1,3,branm003,L,wendj001,R,,altuj001,,K,F,F,7,4,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,wendj001,,F,F
HOU201904050,OAK,7,1,2,2,2,1,3,corrc001,R,wendj001,R,,altuj001,,K,F,F,6,5,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,wendj001,,F,F
HOU201904050,OAK,8,0,0,1,1,1,3,grosr001,L,presr001,R,,,,13/G-,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,8,0,1,1,2,1,3,chapm001,R,presr001,R,,,,S5/G,F,F,5,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,8,0,1,0,0,1,3,piscs001,R,presr001,R,chapm001,,,53/G.1-2,F,F,9,3,2,T,T,0,F,F,1,0,F,F,0,0,2,0,0,F,F,F,presr001,,,F,F
HOU201904050,OAK,8,0,2,0,2,1,3,davik003,R,presr001,R,,chapm001,,53/G,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,presr001,,F,F
HOU201904050,OAK,8,1,0,2,2,1,3,gurry001,R,rodnf001,R,,,,63/G,T,F,3,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,8,1,1,0,0,1,3,reddj001,L,rodnf001,R,,,,5/P5F,F,F,9,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,8,1,2,3,1,1,3,chirr001,R,rodnf001,R,,,,W,F,F,2,8,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,8,1,2,1,2,1,3,kempt001,L,rodnf001,R,chirr001,,,43/G-,F,F,10,9,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,rodnf001,,,F,F
HOU201904050,OAK,9,0,0,1,0,1,3,morak001,L,osunr001,R,,,,S7/F,T,F,3,5,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904050,OAK,9,0,0,1,2,1,3,semim001,R,osunr001,R,canhm001,,,K,F,F,6,6,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,osunr001,,,F,F
HOU201904050,OAK,9,0,1,2,2,1,3,profj001,L,osunr001,R,canhm001,,,K,F,F,4,7,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,osunr001,,,F,F
HOU201904050,OAK,9,0,2,1,1,1,3,laurr001,R,osunr001,R,canhm001,,,WP.1-2,F,F,8,8,9,F,F,0,F,F,0,0,T,F,0,0,2,0,0,F,F,F,osunr001,,,F,F
HOU201904050,OAK,9,0,2,2,1,1,3,laurr001,R,osunr001,R,,canhm001,,S8/G.2-H,F,F,8,8,20,T,T,1,F,F,0,1,F,F,0,1,0,4,0,F,F,F,,osunr001,,F,F
HOU201904050,OAK,9,0,2,2,2,2,3,pindc001,R,osunr001,R,laurr001,,,63/G,F,T,11,9,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,osunr001,,,F,T
HOU201904060,OAK,1,0,0,1,2,0,0,semim001,R,milew001,L,,,,K,T,F,6,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
HOU201904060,OAK,1,0,1,1,1,0,0,chapm001,R,milew001,L,,,,53/G+,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904060,OAK,1,0,2,3,2,0,0,piscs001,R,milew001,L,,,,D7/L+,F,F,9,3,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
HOU201904060,OAK,1,0,2,1,0,0,0,davik003,R,milew001,L,,piscs001,,9/F,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,milew001,,F,F
HOU201904060,OAK,1,1,0,1,2,0,0,sprig001,R,brooa001,R,,,,S9/L,T,F,10,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904060,OAK,1,1,0,0,2,0,0,altuj001,R,brooa001,R,sprig001,,,64(1)3/GDP,F,F,4,2,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,brooa001,,,F,F
HOU201904060,OAK,1,1,2,1,2,0,0,brega001,R,brooa001,R,,,,S4/G+,F,F,5,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904060,OAK,1,1,2,0,1,0,0,branm003,L,brooa001,R,brega001,,,43/G,F,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,brooa001,,,F,F
HOU201904060,OAK,2,0,0,3,2,0,0,pindc001,R,milew001,L,,,,63/G+,T,F,4,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
HOU201904060,OAK,2,0,1,0,1,0,0,morak001,R,milew001,L,,,,S7/L,F,F,3,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
HOU201904060,OAK,2,0,1,0,2,0,0,canhm001,R,milew001,L,morak001,,,K,F,F,7,7,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,milew001,,,F,F
HOU201904060,OAK,2,0,2,1,2,0,0,laurr001,R,milew001,L,morak001,,,4/P,F,F,8,8,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,milew001,,,F,F
HOU201904060,OAK,2,1,0,2,2,0,0,corrc001,R,brooa001,R,,,,7/F,T,F,6,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
