gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
NYA201903280,BAL,1,0,0,1,0,0,0,mullc002,L,tanam001,R,,,,13/G-,T,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
NYA201903280,BAL,1,0,1,1,2,0,0,smitd007,L,tanam001,R,,,,3/G,F,F,7,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,1,0,2,0,1,0,0,villj001,L,tanam001,R,,,,S9/L,F,F,4,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,1,0,2,3,2,0,0,manct001,R,tanam001,R,villj001,,,S4/G/BR.1X2(4),F,F,10,4,20,T,T,1,F,F,1,0,F,F,0,1,0,0,0,F,F,F,tanam001,,,F,F
NYA201903280,BAL,1,1,0,0,2,0,0,gardb001,L,casha001,R,,,,K,T,F,8,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,1,1,1,0,1,0,0,judga001,R,casha001,R,,,,S9/G,F,F,9,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,1,1,1,2,1,0,0,stanm004,R,casha001,R,judga001,,,S9/G+.1-3,F,F,7,3,20,T,T,1,F,F,0,0,F,F,0,1,3,0,0,F,F,F,casha001,,,F,F
NYA201903280,BAL,1,1,1,3,1,0,0,voitl001,R,casha001,R,stanm004,,judga001,HR/8/F.3-H;1-H,F,F,10,4,23,T,T,4,F,F,0,3,F,F,0,4,4,0,4,F,F,F,casha001,,casha001,F,F
NYA201903280,BAL,1,1,1,0,1,0,3,andum001,R,casha001,R,,,,7/F,F,F,5,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,1,1,2,1,1,0,3,sancg002,R,casha001,R,,,,S9/G,F,F,2,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,1,1,2,0,2,0,3,birdg001,L,casha001,R,sancg002,,,K,F,F,3,7,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,casha001,,,F,F
NYA201903280,BAL,2,0,0,0,2,0,3,ruizr002,L,tanam001,R,,,,K,T,F,5,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,2,0,1,0,2,0,3,rickj001,R,tanam001,R,,,,K,F,F,9,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,2,0,2,3,2,0,3,davic003,L,tanam001,R,,,,K,F,F,3,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,2,1,0,0,0,0,3,torrg001,R,casha001,R,,,,S8/G,T,F,4,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,2,1,0,1,2,0,3,tulot001,R,casha001,R,torrg001,,,64(1)3/GDP,F,F,6,9,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,casha001,,,F,F
NYA201903280,BAL,2,1,2,3,1,0,3,gardb001,L,casha001,R,,,,8/L,F,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,3,0,0,1,0,0,3,sucrj001,R,tanam001,R,,,,63/G,T,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,3,0,1,2,2,0,3,martr006,R,tanam001,R,,,,K,F,F,6,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,3,0,2,2,2,0,3,mullc002,L,tanam001,R,,,,163/G,F,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,3,1,0,3,2,0,3,judga001,R,casha001,R,,,,S4/G,T,F,9,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,3,1,0,3,2,0,3,stanm004,R,casha001,R,judga001,,,W.1-2,F,F,7,3,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,casha001,,,F,F
NYA201903280,BAL,3,1,0,3,0,0,3,voitl001,R,casha001,R,stanm004,judga001,,W.2-3;1-2,F,F,10,4,14,T,F,0,F,F,0,0,F,F,0,1,2,3,0,F,F,F,casha001,casha001,,F,F
NYA201903280,BAL,3,1,0,0,1,0,3,andum001,R,casha001,R,voitl001,stanm004,judga001,64(1)3/GDP.3-H(NR);2-3,F,F,5,5,2,T,T,0,F,F,2,0,F,F,0,0,0,3,4,F,F,F,casha001,casha001,casha001,F,F
NYA201903280,BAL,3,1,2,0,1,0,4,sancg002,R,casha001,R,,,stanm004,7/F+,F,F,2,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,3,F,F,F,,,casha001,F,F
NYA201903280,BAL,4,0,0,3,2,0,4,smitd007,L,tanam001,R,,,,9/F,T,F,7,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,4,0,1,1,0,0,4,villj001,L,tanam001,R,,,,43/G,F,F,4,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,4,0,2,0,2,0,4,manct001,R,tanam001,R,,,,S5/G.B-2(E5/TH),F,F,10,4,20,T,T,1,F,F,0,0,F,F,1,2,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,4,0,2,1,0,0,4,ruizr002,L,tanam001,R,,manct001,,S8/G.2-H(UR),F,F,5,5,20,T,T,1,F,F,0,1,F,F,0,1,0,5,0,F,F,F,,tanam001,,F,F
NYA201903280,BAL,4,0,2,0,0,1,4,rickj001,R,tanam001,R,ruizr002,,,8/F,F,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,tanam001,,,F,F
NYA201903280,BAL,4,1,0,2,2,1,4,birdg001,L,casha001,R,,,,K,T,F,3,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
NYA201903280,BAL,4,1,1,1,0,1,4,torrg001,R,casha001,R,,,,53/G,F,F,4,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
