gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
OAK201903200,SEA,1,0,0,1,0,0,0,gordd002,L,fierm001,R,,,,9/L+,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
OAK201903200,SEA,1,0,1,0,2,0,0,hanim001,R,fierm001,R,,,,3/P,F,F,8,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,1,0,2,0,0,0,0,brucj001,L,fierm001,R,,,,S6/L+,F,F,3,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,1,0,2,1,0,0,0,encae001,R,fierm001,R,brucj001,,,WP.1-2,F,F,10,4,9,F,F,0,F,F,0,0,T,F,0,0,2,0,0,F,F,F,fierm001,,,F,F
OAK201903200,SEA,1,0,2,2,2,0,0,encae001,R,fierm001,R,,brucj001,,K,F,F,10,4,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,fierm001,,F,F
OAK201903200,SEA,1,1,0,0,2,0,0,laurr001,R,gonzm005,L,,,,K,T,F,8,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,1,1,1,0,0,0,0,chapm001,R,gonzm005,L,,,,8/F,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,1,1,2,1,1,0,0,piscs001,R,gonzm005,L,,,,HR/8/F,F,F,9,3,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,1,1,2,0,0,0,1,davik003,R,gonzm005,L,,,,63/G,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,2,0,0,2,2,0,1,santd002,R,fierm001,R,,,,3/P,T,F,7,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,2,0,1,1,0,0,1,narvo001,L,fierm001,R,,,,3/G,F,F,2,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
OAK201903200,SEA,2,0,2,0,2,0,1,healr001,R,fierm001,R,,,,63/G,F,F,5,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
