gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
PHI201903280,ATL,1,0,0,1,2,0,0,incie001,L,nolaa001,R,,,,K,T,F,8,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
PHI201903280,ATL,1,0,1,1,2,0,0,donaj001,R,nolaa001,R,,,,23/G-,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,1,0,2,1,0,0,0,freef001,L,nolaa001,R,,,,13/G,F,F,3,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,1,1,0,2,0,0,0,mccua001,R,tehej001,R,,,,HR/8/F,T,F,7,1,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,1,1,0,0,2,0,1,seguj002,R,tehej001,R,,,,K,F,F,6,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,1,1,1,2,1,0,1,harpb003,L,tehej001,R,,,,3/G,F,F,9,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,1,1,2,2,2,0,1,hoskr001,R,tehej001,R,,,,8/F+,F,F,3,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,2,0,0,3,2,0,1,acunr001,R,nolaa001,R,,,,W,T,F,7,4,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
PHI201903280,ATL,2,0,0,1,1,0,1,markn001,L,nolaa001,R,acunr001,,,SB2,F,F,9,5,4,F,F,0,F,F,0,0,F,F,0,0,2,0,0,T,F,F,nolaa001,,,F,F
PHI201903280,ATL,2,0,0,2,1,0,1,markn001,L,nolaa001,R,,acunr001,,S9/G+.2-H;BX2(926/TH),F,F,9,5,20,T,T,1,F,F,1,1,F,F,0,0,0,4,0,F,F,F,,nolaa001,,F,F
