gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
SDN201903280,SFN,1,0,0,1,2,0,0,duggs001,L,lauee001,L,,,,K,T,F,8,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
SDN201903280,SFN,1,0,1,0,0,0,0,beltb001,L,lauee001,L,,,,9/L,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SDN201903280,SFN,1,0,2,1,0,0,0,longe001,R,lauee001,L,,,,S7/L+,F,F,5,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SDN201903280,SFN,1,0,2,0,1,0,0,poseb001,R,lauee001,L,longe001,,,8/F,F,F,2,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,lauee001,,,F,F
SDN201903280,SFN,1,1,0,0,2,0,0,kinsi001,R,bumgm001,L,,,,K,T,F,4,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SDN201903280,SFN,1,1,1,3,2,0,0,myerw001,R,bumgm001,L,,,,W,F,F,7,2,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SDN201903280,SFN,1,1,1,0,2,0,0,machm001,R,bumgm001,L,myerw001,,,K,F,F,5,3,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,bumgm001,,,F,F
SDN201903280,SFN,1,1,2,1,2,0,0,reyef001,R,bumgm001,L,myerw001,,,K,F,F,9,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,bumgm001,,,F,F
SDN201903280,SFN,2,0,0,2,1,0,0,crawb001,L,lauee001,L,,,,43/G,T,F,6,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SDN201903280,SFN,2,0,1,3,2,0,0,joe-c001,R,lauee001,L,,,,W,F,F,7,6,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
