gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
SEA201903280,BOS,1,0,0,0,0,0,0,benia002,L,gonzm005,L,,,,3/G,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
SEA201903280,BOS,1,0,1,3,1,0,0,bettm001,R,gonzm005,L,,,,S9/F,F,F,9,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SEA201903280,BOS,1,0,1,2,1,0,0,dever001,L,gonzm005,L,bettm001,,,S9/L.1-2,F,F,5,3,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,gonzm005,,,F,F
SEA201903280,BOS,1,0,1,0,0,0,0,martj006,R,gonzm005,L,dever001,bettm001,,S7/G+.2-H;1-2,F,F,10,4,20,T,T,1,F,F,0,1,F,F,0,1,2,4,0,F,F,F,gonzm005,gonzm005,,F,F
SEA201903280,BOS,1,0,1,1,2,1,0,bogax001,R,gonzm005,L,martj006,dever001,,46(1)/FO/G.2-3,F,F,6,5,2,T,T,0,F,F,1,0,F,F,0,1,0,3,0,F,F,F,gonzm005,gonzm005,,F,F
SEA201903280,BOS,1,0,2,0,1,1,0,morem001,L,gonzm005,L,bogax001,,dever001,43/G,F,F,3,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,gonzm005,,gonzm005,F,F
SEA201903280,BOS,1,1,0,2,2,1,0,hanim001,R,salec001,L,,,,K,T,F,9,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SEA201903280,BOS,1,1,1,3,2,1,0,santd002,R,salec001,L,,,,K,F,F,7,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SEA201903280,BOS,1,1,2,2,2,1,0,encae001,R,salec001,L,,,,E5/G,F,F,10,3,18,T,T,0,F,F,0,0,F,F,1,1,0,0,0,F,F,F,,,,F,F
SEA201903280,BOS,1,1,2,2,2,1,0,brucj001,L,salec001,L,encae001,,,K,F,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,salec001,,,F,F
