gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
SLN201904050,SDN,1,0,0,0,2,0,0,kinsi001,R,flahj002,R,,,,63/G,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
SLN201904050,SDN,1,0,1,0,1,0,0,hosme001,L,flahj002,R,,,,41/G,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,1,0,2,3,2,0,0,machm001,R,flahj002,R,,,,W,F,F,5,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,1,0,2,1,2,0,0,reyef001,R,flahj002,R,machm001,,,K,F,F,9,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,flahj002,,,F,F
SLN201904050,SDN,1,1,0,1,0,0,0,carpm002,L,margn001,L,,,,43/G,T,F,5,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,1,1,1,3,1,0,0,goldp001,R,margn001,L,,,,W,F,F,3,2,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,1,1,1,1,2,0,0,dejop001,R,margn001,L,goldp001,,,K,F,F,6,3,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,margn001,,,F,F
SLN201904050,SDN,1,1,2,2,2,0,0,ozunm001,R,margn001,L,goldp001,,,9/F,F,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,margn001,,,F,F
SLN201904050,SDN,2,0,0,1,1,0,0,myerw001,R,flahj002,R,,,,6/P,T,F,7,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,2,0,1,0,0,0,0,cordf003,L,flahj002,R,,,,S5/BG,F,F,8,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,2,0,1,0,1,0,0,tatif002,R,flahj002,R,cordf003,,,S9/L-.1-3,F,F,6,7,20,T,T,1,F,F,0,0,F,F,0,1,3,0,0,F,F,F,flahj002,,,F,F
SLN201904050,SDN,2,0,1,1,2,0,0,mejif001,L,flahj002,R,tatif002,,cordf003,K,F,F,2,8,3,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,flahj002,,flahj002,F,F
SLN201904050,SDN,2,0,2,1,0,0,0,margn001,L,flahj002,R,tatif002,,cordf003,3/P,F,F,1,9,2,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,flahj002,,flahj002,F,F
SLN201904050,SDN,2,1,0,0,0,0,0,moliy001,R,margn001,L,,,,63/G,T,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,2,1,1,1,1,0,0,fowld001,R,margn001,L,,,,63/G,F,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,2,1,2,1,1,0,0,badeh001,R,margn001,L,,,,9/F,F,F,8,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,3,0,0,0,1,0,0,kinsi001,R,flahj002,R,,,,7/L,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,3,0,1,3,2,0,0,hosme001,L,flahj002,R,,,,S8/L+,F,F,3,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,3,0,1,3,2,0,0,machm001,R,flahj002,R,hosme001,,,S8/L.1-2,F,F,5,3,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,flahj002,,,F,F
SLN201904050,SDN,3,0,1,1,2,0,0,reyef001,R,flahj002,R,machm001,hosme001,,54(1)/FO/G.2-3,F,F,9,4,2,T,T,0,F,F,1,0,F,F,0,1,0,3,0,F,F,F,flahj002,flahj002,,F,F
SLN201904050,SDN,3,0,2,3,2,0,0,myerw001,R,flahj002,R,reyef001,,hosme001,K,F,F,7,5,3,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,flahj002,,flahj002,F,F
SLN201904050,SDN,3,1,0,3,1,0,0,wongk001,L,margn001,L,,,,3/G,T,F,4,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,3,1,1,1,1,0,0,flahj002,R,margn001,L,,,,9/L+,F,F,1,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,3,1,2,1,1,0,0,carpm002,L,margn001,L,,,,9/L,F,F,5,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,4,0,0,2,0,0,0,cordf003,L,flahj002,R,,,,D9/L,T,F,8,6,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,4,0,0,1,1,0,0,tatif002,R,flahj002,R,,cordf003,,WP.2-3,F,F,6,7,9,F,F,0,F,F,0,0,T,F,0,0,0,3,0,F,F,F,,flahj002,,F,F
SLN201904050,SDN,4,0,0,2,2,0,0,tatif002,R,flahj002,R,,,cordf003,K,F,F,6,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,3,F,F,F,,,flahj002,F,F
SLN201904050,SDN,4,0,1,2,1,0,0,mejif001,L,flahj002,R,,,cordf003,5/P,F,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,3,F,F,F,,,flahj002,F,F
SLN201904050,SDN,4,0,2,3,2,0,0,margn001,L,flahj002,R,,,cordf003,K,F,F,1,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,3,F,F,F,,,flahj002,F,F
SLN201904050,SDN,4,1,0,0,1,0,0,goldp001,R,margn001,L,,,,13/G-,T,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,4,1,1,0,1,0,0,dejop001,R,margn001,L,,,,HR/78/F,F,F,6,3,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,4,1,1,1,2,0,1,ozunm001,R,margn001,L,,,,53/G,F,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,4,1,2,2,1,0,1,moliy001,R,margn001,L,,,,8/F+,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,5,0,0,3,1,0,1,kinsi001,R,flahj002,R,,,,9/F,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,5,0,1,2,1,0,1,hosme001,L,flahj002,R,,,,31/G,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,5,0,2,3,1,0,1,machm001,R,flahj002,R,,,,W,F,F,5,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,5,0,2,3,2,0,1,reyef001,R,flahj002,R,machm001,,,S9/L.1-3,F,F,9,4,20,T,T,1,F,F,0,0,F,F,0,1,3,0,0,F,F,F,flahj002,,,F,F
SLN201904050,SDN,5,0,2,2,2,0,1,myerw001,R,flahj002,R,reyef001,,machm001,K,F,F,7,5,3,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F,flahj002,,flahj002,F,F
SLN201904050,SDN,5,1,0,0,0,0,1,fowld001,R,margn001,L,,,,8/L,T,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,5,1,1,3,2,0,1,badeh001,R,margn001,L,,,,53/G,F,F,8,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,5,1,2,0,0,0,1,wongk001,L,margn001,L,,,,7/F,F,F,4,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,6,0,0,3,2,0,1,cordf003,L,leond003,R,,,,W,T,F,8,6,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,6,0,0,0,0,0,1,tatif002,R,leond003,R,cordf003,,,13/G-.1-2,F,F,6,7,2,T,T,0,F,F,1,0,F,F,0,0,2,0,0,F,F,F,leond003,,,F,F
SLN201904050,SDN,6,0,1,1,1,0,1,mejif001,L,leond003,R,,cordf003,,9/F,F,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,leond003,,F,F
SLN201904050,SDN,6,0,2,0,0,0,1,renfh001,R,leond003,R,,cordf003,,HR/7/F.2-H,F,T,11,9,23,T,T,4,F,F,0,2,F,F,0,4,0,4,0,F,F,F,,leond003,,F,F
SLN201904050,SDN,6,0,2,2,2,2,1,kinsi001,R,leond003,R,,,,S7/L,F,F,4,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,6,0,2,1,0,2,1,hosme001,L,leond003,R,kinsi001,,,7/F,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,leond003,,,F,F
SLN201904050,SDN,6,1,0,2,0,2,1,gyorj001,R,stocr001,R,,,,63/G,T,T,11,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,6,1,1,2,2,2,1,carpm002,L,stocr001,R,,,,D8/F,F,F,5,1,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,6,1,1,2,2,2,1,goldp001,R,stocr001,R,,carpm002,,K,F,F,3,2,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,stocr001,,F,F
SLN201904050,SDN,6,1,2,3,1,2,1,dejop001,R,stocr001,R,,carpm002,,W,F,F,6,3,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F,,stocr001,,F,F
SLN201904050,SDN,6,1,2,2,2,2,1,ozunm001,R,stocr001,R,dejop001,carpm002,,S9/G.2-H;1-3,F,F,7,4,20,T,T,1,F,F,0,1,F,F,0,1,3,4,0,F,F,F,stocr001,stocr001,,F,F
SLN201904050,SDN,6,1,2,2,1,2,2,moliy001,R,stocr001,R,ozunm001,,dejop001,64(1)/FO/G,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,1,0,0,3,F,F,F,stocr001,,stocr001,F,F
SLN201904050,SDN,7,0,0,3,2,2,2,machm001,R,reyea004,R,,,,W,T,F,5,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SLN201904050,SDN,7,0,0,3,1,2,2,reyef001,R,reyea004,R,machm001,,,W.1-2,F,F,9,4,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,reyea004,,,F,F
SLN201904050,SDN,7,0,0,1,1,2,2,myerw001,R,reyea004,R,reyef001,machm001,,WP.2-3;1-2,F,F,7,5,9,F,F,0,F,F,0,0,T,F,0,0,2,3,0,F,F,F,reyea004,reyea004,,F,F
SLN201904050,SDN,7,0,0,2,2,2,2,myerw001,R,reyea004,R,,reyef001,machm001,43/G,F,F,7,5,2,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F,,reyea004,reyea004,F,F
SLN201904050,SDN,7,0,1,1,0,2,2,cordf003,L,reyea004,R,,reyef001,machm001,8/F+/SF.3-H;2-3,F,F,8,6,2,T,F,0,F,T,1,1,F,F,0,0,0,3,4,F,F,F,,reyea004,reyea004,F,F
SLN201904050,SDN,7,0,2,0,0,3,2,tatif002,R,reyea004,R,,,reyef001,HR/7/F.3-H,F,F,6,7,23,T,T,4,F,F,0,2,F,F,0,4,0,0,4,F,F,F,,,reyea004,F,F
SLN201904050,SDN,7,0,2,3,0,5,2,mejif001,L,reyea004,R,,,,W,F,F,2,8,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
