gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
TBA201903280,HOU,1,0,0,2,2,0,0,sprig001,R,snelb001,L,,,,6/P,T,F,9,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
TBA201903280,HOU,1,0,1,0,1,0,0,altuj001,R,snelb001,L,,,,8/L+,F,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,1,0,2,1,2,0,0,brega001,R,snelb001,L,,,,K,F,F,5,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,1,1,0,2,1,0,0,meada001,L,verlj001,R,,,,HR/78/F,T,F,9,1,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,1,1,0,1,1,0,1,phamt001,R,verlj001,R,,,,S7/L,F,F,7,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,1,1,0,0,1,0,1,choij001,L,verlj001,R,phamt001,,,OA.1X2(263),F,F,3,3,12,F,F,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,verlj001,,,F,F
TBA201903280,HOU,1,1,1,2,2,0,1,choij001,L,verlj001,R,,,,3/G,F,F,3,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,1,1,2,0,2,0,1,loweb001,L,verlj001,R,,,,K,F,F,10,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,2,0,0,1,2,0,1,branm003,L,snelb001,L,,,,K,T,F,7,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,2,0,1,3,2,0,1,gurry001,R,snelb001,L,,,,S7/L,F,F,3,5,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,2,0,1,2,2,0,1,whitt002,R,snelb001,L,gurry001,,,K,F,F,10,6,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,snelb001,,,F,F
TBA201903280,HOU,2,0,2,1,0,0,1,chirr001,R,snelb001,L,gurry001,,,CS2(24),F,F,2,7,6,F,F,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,snelb001,,,F,F
TBA201903280,HOU,2,1,0,3,2,0,1,diazy001,R,verlj001,R,,,,W,T,F,5,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
TBA201903280,HOU,2,1,0,0,0,0,1,wendj002,L,verlj001,R,diazy001,,,HP.1-2,F,F,4,6,16,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,verlj001,,,F,F
TBA201903280,HOU,2,1,0,1,2,0,1,adamw002,R,verlj001,R,wendj002,diazy001,,K,F,F,6,7,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,verlj001,verlj001,,F,F
