gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
TEX201903280,CHN,1,0,0,0,1,0,0,almoa002,R,minom001,L,,,,9/F,T,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
TEX201903280,CHN,1,0,1,1,0,0,0,bryak001,R,minom001,L,,,,7/F+,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,1,0,2,3,1,0,0,rizza001,L,minom001,L,,,,W,F,F,3,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,1,0,2,3,2,0,0,baezj001,R,minom001,L,rizza001,,,53/G,F,F,6,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,minom001,,,F,F
TEX201903280,CHN,1,1,0,2,0,0,0,deshd002,R,lestj001,L,,,,8/F,T,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,1,1,1,2,2,0,0,odorr001,L,lestj001,L,,,,K,F,F,4,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,1,1,2,1,1,0,0,andre001,R,lestj001,L,,,,S7/L,F,F,6,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,1,1,2,3,2,0,0,gallj002,L,lestj001,L,andre001,,,W.1-2,F,F,7,4,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,lestj001,,,F,F
TEX201903280,CHN,1,1,2,0,1,0,0,pench001,R,lestj001,L,gallj002,andre001,,63/G,F,F,10,5,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,lestj001,lestj001,,F,F
TEX201903280,CHN,2,0,0,1,1,0,0,contw001,R,minom001,L,,,,63/G,T,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,2,0,1,2,0,0,0,boted002,R,minom001,L,,,,53/G,F,F,4,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,2,0,2,1,2,0,0,zobrb001,R,minom001,L,,,,53/G,F,F,10,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,2,1,0,2,1,0,0,mazan001,L,lestj001,L,,,,8/L,T,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,2,1,1,0,0,0,0,cabra002,R,lestj001,L,,,,3/P3F,F,F,5,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
TEX201903280,CHN,2,1,2,1,0,0,0,guzmr001,L,lestj001,L,,,,31/G,F,F,3,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
