gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
LAN202007230,SFN,1,0,0,0,0,0,0,yastm001,L,may-d003,R,,,,E6/G+.B-1,T,F,8,1,18,T,T,0,F,F,0,0,F,F,1,1,0,0,0,F,F,F,,,,T,F
LAN202007230,SFN,1,0,0,0,2,0,0,florw001,R,may-d003,R,yastm001,,,9/F,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,may-d003,,,F,F
LAN202007230,SFN,1,0,1,0,1,0,0,sandp001,L,may-d003,R,yastm001,,,S5/G.1X2(5),F,F,3,3,20,T,T,1,F,F,1,0,F,F,0,1,0,0,0,F,F,F,may-d003,,,F,F
LAN202007230,SFN,1,0,2,2,1,0,0,dicka001,L,may-d003,R,sandp001,,,S6/G.1-2,F,F,7,4,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,may-d003,,,F,F
LAN202007230,SFN,1,0,2,0,1,0,0,pench001,R,may-d003,R,dicka001,sandp001,,13/G-,F,F,10,5,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,may-d003,may-d003,,F,F
LAN202007230,SFN,1,1,0,2,1,0,0,muncm001,L,cuetj001,R,,,,7/F,T,F,3,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,1,1,1,1,2,0,0,bettm001,R,cuetj001,R,,,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,1,1,2,2,2,0,0,bellc002,L,cuetj001,R,,,,7/F/FL,F,F,8,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,2,0,0,2,2,0,0,mccaj002,L,may-d003,R,,,,K,T,F,9,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,2,0,1,0,0,0,0,dubom001,R,may-d003,R,,,,53/G,F,F,4,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,2,0,2,0,2,0,0,crawb001,L,may-d003,R,,,,53/G,F,F,6,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,2,1,0,0,0,0,0,turnj001,R,cuetj001,R,,,,HP,T,F,5,4,16,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,2,1,0,1,0,0,0,seagc001,L,cuetj001,R,turnj001,,,3(B)6(1)/GDP/G,F,F,6,5,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F,cuetj001,,,F,F
LAN202007230,SFN,2,1,2,2,1,0,0,herne001,R,cuetj001,R,,,,S9/F,F,F,4,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,2,1,2,1,0,0,0,pedej001,L,cuetj001,R,herne001,,,43/G,F,F,7,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,cuetj001,,,F,F
LAN202007230,SFN,3,0,0,0,1,0,0,heint001,L,may-d003,R,,,,S6/BG,T,F,2,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,3,0,0,3,2,0,0,yastm001,L,may-d003,R,heint001,,,S9/L.1-2,F,F,8,1,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,may-d003,,,F,F
LAN202007230,SFN,3,0,0,0,0,0,0,florw001,R,may-d003,R,yastm001,heint001,,S8/L.2-3;1-2,F,F,5,2,20,T,T,1,F,F,0,0,F,F,0,1,2,3,0,F,F,F,may-d003,may-d003,,F,F
LAN202007230,SFN,3,0,0,0,1,0,0,sandp001,L,may-d003,R,florw001,yastm001,heint001,7/SF/F.3-H,F,F,3,3,2,T,F,0,F,T,1,1,F,F,0,0,1,2,4,F,F,F,may-d003,may-d003,may-d003,F,F
LAN202007230,SFN,3,0,1,1,2,1,0,dicka001,L,may-d003,R,florw001,yastm001,,K,F,F,7,4,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,may-d003,may-d003,,F,F
LAN202007230,SFN,3,0,2,1,0,1,0,pench001,R,may-d003,R,florw001,yastm001,,53/G,F,F,10,5,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,may-d003,may-d003,,F,F
LAN202007230,SFN,3,1,0,2,2,1,0,polla001,R,cuetj001,R,,,,K,T,F,10,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,3,1,1,3,2,1,0,barna001,R,cuetj001,R,,,,K,F,F,2,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,3,1,2,1,1,1,0,muncm001,L,cuetj001,R,,,,D8/L,F,F,3,1,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,3,1,2,1,0,1,0,bettm001,R,cuetj001,R,,muncm001,,53/G,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,cuetj001,,F,F
LAN202007230,SFN,4,0,0,1,0,1,0,mccaj002,L,may-d003,R,,,,8/F,T,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,4,0,1,0,2,1,0,dubom001,R,may-d003,R,,,,K,F,F,4,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,4,0,2,1,2,1,0,crawb001,L,may-d003,R,,,,13/G,F,F,6,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,4,1,0,1,1,1,0,bellc002,L,cuetj001,R,,,,43/G,T,F,8,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,4,1,1,1,2,1,0,turnj001,R,cuetj001,R,,,,53/G,F,F,5,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,4,1,2,1,1,1,0,seagc001,L,cuetj001,R,,,,D7/L+,F,F,6,5,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
LAN202007230,SFN,4,1,2,1,0,1,0,herne001,R,cuetj001,R,,seagc001,,S7/F.2-H,F,F,4,6,20,T,T,1,F,F,0,1,F,F,0,1,0,4,0,F,F,F,,cuetj001,,F,F
