gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
SFN202007280,SDN,1,0,0,3,2,0,0,tatif002,R,samaj001,R,,,,63/G6,T,F,6,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,T,F
SFN202007280,SDN,1,0,1,2,0,0,0,grist001,L,samaj001,R,,,,9/F89D,F,F,8,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,1,0,2,0,0,0,0,machm001,R,samaj001,R,,,,53/G5,F,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,1,1,0,0,0,0,0,yastm001,L,daviz001,R,,,,S9/L89D,T,F,8,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,1,1,0,2,0,0,0,sandp001,L,daviz001,R,yastm001,,,13/G3S-.1-2,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,2,0,0,F,F,F,daviz001,,,F,F
SFN202007280,SDN,1,1,1,3,1,0,0,florw001,R,daviz001,R,,yastm001,,S7/G5.2-H(E7)(NR)(UR);B-2,F,F,5,3,20,T,T,1,F,F,0,0,F,F,1,2,0,5,0,F,F,F,,daviz001,,F,F
SFN202007280,SDN,1,1,1,1,2,0,1,dicka001,L,daviz001,R,,florw001,,8/F78D,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,daviz001,,F,F
SFN202007280,SDN,1,1,2,1,0,0,1,heint001,L,daviz001,R,,florw001,,4/P9S,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,daviz001,,F,F
SFN202007280,SDN,2,0,0,1,1,0,1,phamt001,R,samaj001,R,,,,8/F78XD,T,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,2,0,1,0,0,0,1,hosme001,L,samaj001,R,,,,9/F9D+,F,F,3,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,2,0,2,3,2,0,1,profj001,L,samaj001,R,,,,43/G9S+,F,F,4,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,2,1,0,0,2,0,1,crawb001,L,daviz001,R,,,,43/G4,T,F,6,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,2,1,1,0,2,0,1,davij008,R,daviz001,R,,,,K,F,F,9,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,2,1,2,1,2,0,1,mccaj002,L,daviz001,R,,,,K,F,F,7,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,3,0,0,0,1,0,1,myerw001,R,samaj001,R,,,,S9/L89,T,F,9,7,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,3,0,0,3,2,0,1,mejif001,L,samaj001,R,myerw001,,,W.1-2,F,F,2,8,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,samaj001,,,F,F
SFN202007280,SDN,3,0,0,3,2,0,1,naylj001,L,samaj001,R,mejif001,myerw001,,5/P5DF/FL,F,F,10,9,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,samaj001,samaj001,,F,F
SFN202007280,SDN,3,0,1,3,1,0,1,tatif002,R,samaj001,R,mejif001,myerw001,,HR/F9LD.2-H;1-H,F,F,6,1,23,T,T,4,F,F,0,3,F,F,0,4,4,4,0,F,F,F,samaj001,samaj001,,F,F
SFN202007280,SDN,3,0,1,1,1,3,1,grist001,L,samaj001,R,,,,3/P13,F,F,8,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,3,0,2,3,2,3,1,machm001,R,samaj001,R,,,,K,F,F,5,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,3,1,0,1,2,3,1,dubom001,R,daviz001,R,,,,K,T,F,4,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,3,1,1,1,2,3,1,yastm001,L,daviz001,R,,,,7/F7L,F,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,3,1,2,1,2,3,1,sandp001,L,daviz001,R,,,,8/L8XD,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,4,0,0,1,2,3,1,phamt001,R,samaj001,R,,,,63/G6,T,F,7,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
SFN202007280,SDN,4,0,1,1,1,3,1,hosme001,L,samaj001,R,,,,S8/L78,F,F,3,5,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
