gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag
BOS202007240,BAL,1,0,0,0,1,0,0,haysa001,R,eovan001,R,,,,9/L+,T,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,1,0,1,0,1,0,0,santa003,L,eovan001,R,,,,13/G,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,1,0,2,3,2,0,0,iglej001,R,eovan001,R,,,,43/G+,F,F,6,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,1,1,0,3,2,0,0,benia002,L,milot001,L,,,,43/G,T,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,1,1,1,3,1,0,0,martj006,R,milot001,L,,,,W,F,F,10,2,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,1,1,1,0,2,0,0,dever001,L,milot001,L,martj006,,,K,F,F,5,3,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
BOS202007240,BAL,1,1,2,0,2,0,0,bogax001,R,milot001,L,martj006,,,K,F,F,6,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
BOS202007240,BAL,2,0,0,0,1,0,0,nuner001,R,eovan001,R,,,,13/G,T,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,2,0,1,0,1,0,0,davic003,L,eovan001,R,,,,43/G,F,F,3,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,2,0,2,1,1,0,0,albeh001,R,eovan001,R,,,,S7/G,F,F,4,6,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,2,0,2,2,2,0,0,ruizr002,L,eovan001,R,albeh001,,,43/G,F,F,5,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
BOS202007240,BAL,2,1,0,0,0,0,0,pillk001,R,milot001,L,,,,5/P,T,F,9,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,2,1,1,3,2,0,0,vazqc001,R,milot001,L,,,,W,F,F,2,6,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,2,1,1,2,2,0,0,chavm001,R,milot001,L,vazqc001,,,PO1(13),F,F,3,7,8,F,F,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,2,1,2,2,2,0,0,chavm001,R,milot001,L,,,,K,F,F,3,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,3,0,0,1,0,0,0,sevep001,R,eovan001,R,,,,S8/G+,T,F,2,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,3,0,0,1,0,0,0,stewd002,L,eovan001,R,sevep001,,,36(1)/FO/G.B-1,F,F,7,9,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,3,0,1,1,2,0,0,haysa001,R,eovan001,R,stewd002,,,14(1)3/GDP/G,F,F,8,1,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,3,1,0,0,0,0,0,bradj001,L,milot001,L,,,,D7/L,T,F,8,8,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F
BOS202007240,BAL,3,1,0,1,0,0,0,peraj003,R,milot001,L,,bradj001,,D7/L+.2-H,F,F,4,9,21,T,T,2,F,F,0,1,F,F,0,2,0,4,0,F,F,F
BOS202007240,BAL,3,1,0,0,2,0,1,benia002,L,milot001,L,,peraj003,,K,F,F,7,1,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
BOS202007240,BAL,3,1,1,3,1,0,1,martj006,R,milot001,L,,peraj003,,D7/L+.2-H,F,F,10,2,21,T,T,2,F,F,0,1,F,F,0,2,0,4,0,F,F,F
BOS202007240,BAL,3,1,1,3,2,0,2,dever001,L,milot001,L,,martj006,,W,F,F,5,3,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F
BOS202007240,BAL,3,1,1,1,2,0,2,bogax001,R,milot001,L,dever001,martj006,,WP.2-3;1-2,F,F,6,4,9,F,F,0,F,F,0,0,T,F,0,0,2,3,0,F,F,F
BOS202007240,BAL,3,1,1,3,2,0,2,bogax001,R,milot001,L,,dever001,martj006,K,F,F,6,4,3,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F
BOS202007240,BAL,3,1,2,1,0,0,2,pillk001,R,milot001,L,,dever001,martj006,D7/L+.3-H;2-H,F,F,9,5,21,T,T,2,F,F,0,2,F,F,0,2,0,4,4,F,F,F
BOS202007240,BAL,3,1,2,0,0,0,4,vazqc001,R,milot001,L,,pillk001,,9/F,F,F,2,6,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
BOS202007240,BAL,4,0,0,0,2,0,4,santa003,L,eovan001,R,,,,7/F,T,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,4,0,1,0,2,0,4,iglej001,R,eovan001,R,,,,D9/L,F,F,6,3,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F
BOS202007240,BAL,4,0,1,1,0,0,4,nuner001,R,eovan001,R,,iglej001,,E5/TH/G.2-3;B-1,F,F,10,4,18,T,T,0,F,F,0,0,F,F,1,1,0,3,0,F,F,F
BOS202007240,BAL,4,0,1,1,1,0,4,davic003,L,eovan001,R,nuner001,,iglej001,3/L+/DP.1X1(3),F,F,3,5,2,T,T,0,F,F,2,0,F,F,0,0,0,0,3,F,F,F
BOS202007240,BAL,4,1,0,3,2,0,4,chavm001,R,carrc004,R,,,,W,T,F,3,7,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,4,1,0,3,2,0,4,bradj001,L,carrc004,R,chavm001,,,W.1-2,F,F,8,8,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F
BOS202007240,BAL,4,1,0,0,0,0,4,peraj003,R,carrc004,R,bradj001,chavm001,,S7/G+.2-3;1-2,F,F,4,9,20,T,T,1,F,F,0,0,F,F,0,1,2,3,0,F,F,F
BOS202007240,BAL,4,1,0,3,2,0,4,benia002,L,carrc004,R,peraj003,bradj001,chavm001,W.3-H;2-3;1-2,F,F,7,1,14,T,F,0,F,F,0,1,F,F,0,1,2,3,4,F,F,F
BOS202007240,BAL,4,1,0,2,2,0,5,martj006,R,lakit001,R,benia002,peraj003,bradj001,DGR/L+.3-H;2-H;1-3,F,F,10,2,21,T,T,2,F,F,0,2,F,F,0,2,3,4,4,F,F,F
BOS202007240,BAL,4,1,0,0,2,0,7,dever001,L,lakit001,R,,martj006,benia002,53/G,F,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F
BOS202007240,BAL,4,1,1,1,1,0,7,bogax001,R,lakit001,R,,martj006,benia002,S8/L.3-H;2-3,F,F,6,4,20,T,T,1,F,F,0,1,F,F,0,1,0,3,4,F,F,F
BOS202007240,BAL,4,1,1,0,2,0,8,pillk001,R,lakit001,R,bogax001,,martj006,S9/L.3-H;1-3,F,F,9,5,20,T,T,1,F,F,0,1,F,F,0,1,3,0,4,F,F,F
BOS202007240,BAL,4,1,1,1,1,0,9,vazqc001,R,lakit001,R,pillk001,,bogax001,S7/L-.3-H;1-2,F,F,2,6,20,T,T,1,F,F,0,1,F,F,0,1,2,0,4,F,F,F
BOS202007240,BAL,4,1,1,2,2,0,10,chavm001,R,lakit001,R,vazqc001,pillk001,,K+WP.2-3;1-2,F,F,3,7,3,T,T,0,F,F,1,0,T,F,0,0,2,3,0,F,F,F
BOS202007240,BAL,4,1,2,3,2,0,10,bradj001,L,lakit001,R,,vazqc001,pillk001,K,F,F,8,8,3,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F
BOS202007240,BAL,5,0,0,0,2,0,10,albeh001,R,eovan001,R,,,,53/G,T,F,4,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,5,0,1,1,2,0,10,ruizr002,L,eovan001,R,,,,K,F,F,5,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
BOS202007240,BAL,5,0,2,3,2,0,10,sevep001,R,eovan001,R,,,,W,F,F,2,8,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
BOS202007240,BAL,5,0,2,1,2,0,10,stewd002,L,eovan001,R,sevep001,,,K,F,F,7,9,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
