gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag
CIN202007240,DET,1,0,0,2,2,0,0,goodn002,L,grays001,R,,,,K,T,F,6,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,1,0,1,0,2,0,0,schoj001,R,grays001,R,,,,S9/L,F,F,4,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,1,0,1,2,1,0,0,cabrm001,R,grays001,R,schoj001,,,WP.1-2,F,F,10,3,9,F,F,0,F,F,0,0,T,F,0,0,2,0,0,F,F,F
CIN202007240,DET,1,0,1,3,2,0,0,cabrm001,R,grays001,R,,schoj001,,W,F,F,10,3,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F
CIN202007240,DET,1,0,1,2,0,0,0,cronc002,R,grays001,R,cabrm001,schoj001,,5(2)3/GDP/G,F,F,3,4,2,T,T,0,F,F,2,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,1,1,0,3,2,0,0,ervip001,R,boydm001,L,,,,W,T,F,7,1,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,1,1,0,0,1,0,0,vottj001,L,boydm001,L,ervip001,,,S9/L.1-2,F,F,3,2,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F
CIN202007240,DET,1,1,0,2,2,0,0,suare001,R,boydm001,L,vottj001,ervip001,,HP.2-3;1-2,F,F,5,3,16,T,F,0,F,F,0,0,F,F,0,1,2,3,0,F,F,F
CIN202007240,DET,1,1,0,0,1,0,0,castn001,R,boydm001,L,suare001,vottj001,ervip001,HP.3-H;2-3;1-2,F,F,9,4,16,T,F,0,F,F,0,1,F,F,0,1,2,3,4,F,F,F
CIN202007240,DET,1,1,0,3,2,0,1,mousm001,L,boydm001,L,castn001,suare001,vottj001,S9/F.3-H;2-3;1-2,F,F,4,5,20,T,T,1,F,F,0,1,F,F,0,1,2,3,4,F,F,F
CIN202007240,DET,1,1,0,2,2,0,2,davim005,R,boydm001,L,mousm001,castn001,suare001,3/P,F,F,10,6,2,T,T,0,F,F,1,0,F,F,0,0,1,2,3,F,F,F
CIN202007240,DET,1,1,1,0,1,0,2,senzn001,R,boydm001,L,mousm001,castn001,suare001,52(3)/FO/G.2-3;1-2;B-1,F,F,8,7,2,T,T,0,F,F,1,0,F,F,0,1,2,3,0,F,F,F
CIN202007240,DET,1,1,2,1,0,0,2,galvf001,R,boydm001,L,senzn001,mousm001,castn001,63/G,F,F,6,8,2,T,T,0,F,F,1,0,F,F,0,0,1,2,3,F,F,F
CIN202007240,DET,2,0,0,3,2,0,2,stewc002,L,grays001,R,,,,K,T,F,7,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,2,0,1,0,1,0,2,candj002,L,grays001,R,,,,43/G-,F,F,5,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,2,0,2,3,2,0,2,maybc001,R,grays001,R,,,,K,F,F,9,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,2,1,0,1,2,0,2,casac001,R,boydm001,L,,,,S7/L,T,F,2,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,2,1,0,0,1,0,2,ervip001,R,boydm001,L,casac001,,,9/F,F,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,2,1,1,2,2,0,2,vottj001,L,boydm001,L,casac001,,,3/L/DP.1X1(3),F,F,3,2,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,3,0,0,1,2,0,2,romia002,R,grays001,R,,,,K,T,F,2,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,3,0,1,1,2,0,2,jonej006,R,grays001,R,,,,S9/L,F,F,8,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,3,0,1,1,1,0,2,goodn002,L,grays001,R,jonej006,,,46(1)3/GDP/G,F,F,6,1,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,3,1,0,1,1,0,2,suare001,R,boydm001,L,,,,53/G+,T,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,3,1,1,0,1,0,2,castn001,R,boydm001,L,,,,D7/L+,F,F,9,4,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F
CIN202007240,DET,3,1,1,0,0,0,2,mousm001,L,boydm001,L,,castn001,,S8/L.2-H,F,F,4,5,20,T,T,1,F,F,0,1,F,F,0,1,0,4,0,F,F,F
CIN202007240,DET,3,1,1,0,0,0,3,davim005,R,boydm001,L,mousm001,,,64(1)3/GDP/G,F,F,10,6,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,4,0,0,1,2,0,3,schoj001,R,grays001,R,,,,K,T,F,4,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,4,0,1,1,2,0,3,cabrm001,R,grays001,R,,,,43/G+,F,F,10,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,4,0,2,1,0,0,3,cronc002,R,grays001,R,,,,HR/L7,F,F,3,4,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F
CIN202007240,DET,4,0,2,3,2,1,3,stewc002,L,grays001,R,,,,W,F,F,7,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,4,0,2,3,2,1,3,candj002,L,grays001,R,stewc002,,,8/L,F,F,5,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,4,1,0,0,1,1,3,senzn001,R,boydm001,L,,,,7/L+,T,F,8,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,4,1,1,2,2,1,3,galvf001,R,boydm001,L,,,,K,F,F,6,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,4,1,2,3,2,1,3,casac001,R,boydm001,L,,,,W,F,F,2,9,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,4,1,2,3,2,1,3,ervip001,R,boydm001,L,casac001,,,8/F,F,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,5,0,0,0,0,1,3,maybc001,R,grays001,R,,,,43/G,T,F,9,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,5,0,1,1,2,1,3,romia002,R,grays001,R,,,,K,F,F,2,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,5,0,2,2,2,1,3,jonej006,R,grays001,R,,,,K,F,F,8,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,5,1,0,2,0,1,3,vottj001,L,boydm001,L,,,,HR/F89,T,F,3,2,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F
CIN202007240,DET,5,1,0,3,2,1,4,suare001,R,boydm001,L,,,,K,F,F,5,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,5,1,1,2,2,1,4,castn001,R,boydm001,L,,,,63/G+,F,F,9,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,5,1,2,1,2,1,4,mousm001,L,boydm001,L,,,,53/G,F,F,4,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,6,0,0,0,2,1,4,goodn002,L,grays001,R,,,,K,T,F,6,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,6,0,1,3,2,1,4,schoj001,R,grays001,R,,,,K,F,F,4,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,6,0,2,0,0,1,4,cabrm001,R,grays001,R,,,,53/G,F,F,10,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,6,1,0,2,1,1,4,winkj002,L,cisnj001,R,,,,53/G+,T,T,10,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,6,1,1,1,2,1,4,senzn001,R,cisnj001,R,,,,K,F,F,8,7,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,6,1,2,1,2,1,4,galvf001,L,cisnj001,R,,,,S7/L,F,F,6,8,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,6,1,2,3,2,1,4,casac001,R,cisnj001,R,galvf001,,,W.1-2,F,F,2,9,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F
CIN202007240,DET,6,1,2,1,2,1,4,akiys001,L,cisnj001,R,casac001,galvf001,,S8/G.2-H;1-3,F,T,11,1,20,T,T,1,F,F,0,1,F,F,0,1,3,4,0,F,F,F
CIN202007240,DET,6,1,2,0,0,1,5,vottj001,L,cisnj001,R,akiys001,,casac001,3/G,F,F,3,2,2,T,T,0,F,F,1,0,F,F,0,0,1,0,3,F,F,F
CIN202007240,DET,7,0,0,3,1,1,5,cronc002,R,simsl001,R,,,,W,T,F,3,4,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,7,0,0,1,2,1,5,stewc002,L,simsl001,R,cronc002,,,K,F,F,7,5,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,7,0,1,3,2,1,5,candj002,L,simsl001,R,cronc002,,,K,F,F,5,6,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,7,0,2,1,2,1,5,maybc001,R,simsl001,R,cronc002,,,3/P,F,F,9,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007240,DET,7,1,0,1,1,1,5,suare001,R,mckad001,R,,,,9/L,T,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,7,1,1,3,2,1,5,castn001,R,mckad001,R,,,,W,F,F,9,4,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007240,DET,7,1,1,0,0,1,5,mousm001,L,mckad001,R,jankt001,,,SB2,F,F,4,5,4,F,F,0,F,F,0,0,F,F,0,0,2,0,0,T,F,F
CIN202007240,DET,7,1,1,3,1,1,5,mousm001,L,mckad001,R,,jankt001,,HR/L89.2-H,F,F,4,5,23,T,T,4,F,F,0,2,F,F,0,4,0,4,0,F,F,F
CIN202007240,DET,7,1,1,0,2,1,7,winkj002,L,sotog003,L,,,,K,F,F,10,6,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,7,1,2,2,0,1,7,senzn001,R,sotog003,L,,,,9/F,F,F,8,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,8,0,0,0,0,1,7,casth001,L,jonen001,R,,,,7/L,T,T,11,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,8,0,1,1,1,1,7,jonej006,R,jonen001,R,,,,53/G,F,F,8,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,8,0,2,0,2,1,7,goodn002,L,jonen001,R,,,,K,F,F,6,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,8,1,0,1,0,1,7,galvf001,L,farmb001,R,,,,3/P/FL,T,F,6,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,8,1,1,2,1,1,7,casac001,R,farmb001,R,,,,9/F,F,F,2,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,8,1,2,3,2,1,7,akiys001,L,farmb001,R,,,,43/G,F,F,7,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,9,0,0,0,2,1,7,schoj001,R,raleb001,L,,,,4/P,T,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,9,0,1,3,2,1,7,cabrm001,R,raleb001,L,,,,K,F,F,10,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007240,DET,9,0,2,0,1,1,7,cronc002,R,raleb001,L,,,,1/P-/FL,F,F,3,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007250,DET,1,0,0,0,2,0,0,goodn002,L,castl003,R,,,,K,T,F,6,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
CIN202007250,DET,1,0,1,0,2,0,0,schoj001,R,castl003,R,,,,S4/G-,F,F,4,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
CIN202007250,DET,1,0,1,1,2,0,0,cabrm001,R,castl003,R,schoj001,,,K,F,F,10,3,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
CIN202007250,DET,1,0,2,0,1,0,0,cronc002,R,castl003,R,schoj001,,,D7/G.1-H,F,F,3,4,21,T,T,2,F,F,0,1,F,F,0,2,4,0,0,F,F,F
CIN202007250,DET,1,0,2,3,0,1,0,stewc002,L,castl003,R,,cronc002,,W,F,F,7,5,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F
CIN202007250,DET,1,0,2,1,0,1,0,candj002,L,castl003,R,stewc002,cronc002,,5/P,F,F,5,6,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
CIN202007250,DET,1,1,0,0,2,1,0,winkj002,L,novai001,R,,,,53/G8S,T,F,10,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
