gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag
DET202007270,KCA,1,0,0,2,2,0,0,merrw001,R,fulmm001,R,,,,S9/L89,T,F,4,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
DET202007270,KCA,1,0,0,2,2,0,0,solej001,R,fulmm001,R,merrw001,,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
DET202007270,KCA,1,0,1,0,1,0,0,mondr003,L,fulmm001,R,merrw001,,,6/P6D,F,F,6,3,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
DET202007270,KCA,1,0,2,1,1,0,0,peres002,R,fulmm001,R,merrw001,,,9/F89D,F,F,2,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
DET202007270,KCA,1,1,0,2,2,0,0,goodn002,R,montm002,L,,,,53/G56,T,F,6,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,1,1,1,2,1,0,0,schoj001,R,montm002,L,,,,63/G56D,F,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,1,1,2,3,1,0,0,cabrm001,R,montm002,L,,,,S7/L78XD+,F,F,10,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
DET202007270,KCA,1,1,2,1,2,0,0,cronc002,R,montm002,L,cabrm001,,,K,F,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
DET202007270,KCA,2,0,0,0,2,0,0,ohear001,L,fulmm001,R,,,,K,T,F,3,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,2,0,1,1,1,0,0,franm004,R,fulmm001,R,,,,HR/L7D,F,F,5,6,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F
DET202007270,KCA,2,0,1,3,2,1,0,gorda001,L,fulmm001,R,,,,9/F9D,F,F,7,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,2,0,2,1,0,1,0,cordf003,L,fulmm001,R,,,,43/G34,F,F,10,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,2,1,0,2,1,1,0,mercj002,R,montm002,L,,,,S7/G6,T,F,5,5,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
DET202007270,KCA,2,1,0,1,2,1,0,maybc001,R,montm002,L,mercj002,,,S8/L89.1-3;B-2,F,F,9,6,20,T,T,1,F,F,0,0,F,F,0,2,3,0,0,F,F,F
DET202007270,KCA,2,1,0,1,0,1,0,reyev001,R,montm002,L,,maybc001,mercj002,E6/G6.3-H;B-1,F,F,7,7,18,T,T,0,F,F,0,1,F,F,1,1,0,2,4,F,F,F
DET202007270,KCA,2,1,0,1,1,1,1,romia002,R,montm002,L,reyev001,maybc001,,63/G6S.2-3;1-2,F,F,2,8,2,T,T,0,F,F,1,0,F,F,0,0,2,3,0,F,F,F
DET202007270,KCA,2,1,1,3,1,1,1,jonej006,R,montm002,L,,reyev001,maybc001,HR/L7LD.3-H;2-H(UR),F,F,8,9,23,T,T,4,F,F,0,3,F,F,0,4,0,5,4,F,F,F
DET202007270,KCA,2,1,1,1,1,1,4,goodn002,R,montm002,L,,,,T8/L89XD+,F,F,6,1,22,T,T,3,F,F,0,0,F,F,0,3,0,0,0,F,F,F
DET202007270,KCA,2,1,1,1,1,1,4,schoj001,R,montm002,L,,,goodn002,8/SF/L8XD.3-H(UR),F,F,4,2,2,T,F,0,F,T,1,1,F,F,0,0,0,0,5,F,F,F
DET202007270,KCA,2,1,2,1,2,1,5,cabrm001,R,montm002,L,,,,43/G4,F,F,10,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,3,0,0,1,1,1,5,philb002,L,fulmm001,R,,,,S9/L89S,T,F,8,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
DET202007270,KCA,3,0,0,0,0,1,5,merrw001,R,fulmm001,R,philb002,,,HR/F89.1-H,F,F,4,1,23,T,T,4,F,F,0,2,F,F,0,4,4,0,0,F,F,F
DET202007270,KCA,3,0,0,0,0,3,5,solej001,R,fulmm001,R,,,,7/F7LD+,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,3,0,1,2,0,3,5,mondr003,L,fulmm001,R,,,,3/G3,F,F,6,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,3,0,2,2,1,3,5,peres002,R,fulmm001,R,,,,HR/F78XD,F,F,2,4,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F
DET202007270,KCA,3,0,2,3,2,4,5,ohear001,L,fulmm001,R,,,,W,F,F,3,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
DET202007270,KCA,3,0,2,0,1,4,5,franm004,R,funkk001,R,ohear001,,,S8/G6M.1-2,F,F,5,6,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F
DET202007270,KCA,3,0,2,1,1,4,5,gorda001,L,funkk001,R,franm004,ohear001,,8/F8XD+,F,F,7,7,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
DET202007270,KCA,3,1,0,1,2,4,5,cronc002,R,griff001,L,,,,K,T,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,3,1,1,2,2,4,5,mercj002,R,griff001,L,,,,63/G56,F,F,5,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,3,1,2,2,0,4,5,maybc001,R,griff001,L,,,,63/G6,F,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
DET202007270,KCA,4,0,0,1,1,4,5,cordf003,L,funkk001,R,,,,D7/L7L,T,F,10,8,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F
DET202007270,KCA,4,0,0,3,1,4,5,philb002,L,funkk001,R,,cordf003,,W,F,F,8,9,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F
DET202007270,KCA,4,0,0,2,2,4,5,merrw001,R,funkk001,R,philb002,cordf003,,D7/L7LD.2-H;1-3,F,F,4,1,21,T,T,2,F,F,0,1,F,F,0,2,3,4,0,F,F,F
DET202007270,KCA,4,0,0,2,1,5,5,solej001,R,funkk001,R,,merrw001,philb002,53/G56,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F
