gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag,responsiblePitcherForRunnerOn1st, responsiblePitcherForRunnerOn2nd,responsiblePitcherForRunnerOn3rd,newGameFlag,endGameFlag
KCA202007310,CHA,1,0,0,1,0,0,0,andet001,R,bubik001,L,,,,D7/L7L,T,F,6,1,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,T,F
KCA202007310,CHA,1,0,0,3,0,0,0,moncy001,R,bubik001,L,,andet001,,W,F,F,5,2,14,T,F,0,F,F,0,0,F,F,0,1,0,2,0,F,F,F,,bubik001,,F,F
KCA202007310,CHA,1,0,0,2,2,0,0,abrej003,R,bubik001,L,moncy001,andet001,,54(1)3/GDP/G56+.2-3,F,F,3,3,2,T,T,0,F,F,2,0,F,F,0,0,0,3,0,F,F,F,bubik001,bubik001,,F,F
KCA202007310,CHA,1,0,2,1,2,0,0,grany001,R,bubik001,L,,,andet001,K,F,F,10,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,3,F,F,F,,,bubik001,F,F
KCA202007310,CHA,1,1,0,1,0,0,0,merrw001,R,keucd001,L,,,,9/F89XD,T,F,9,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,1,1,1,0,2,0,0,mondr003,R,keucd001,L,,,,9/F9L,F,F,6,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,1,1,2,2,0,0,0,peres002,R,keucd001,L,,,,53/G56S,F,F,2,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,0,0,1,1,0,0,jimee001,R,bubik001,L,,,,E4/G6.B-1,T,F,7,5,18,T,T,0,F,F,0,0,F,F,1,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,0,0,0,2,0,0,robel002,R,bubik001,L,jimee001,,,64(1)/FO/G6.B-1,F,F,8,6,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F,bubik001,,,F,F
KCA202007310,CHA,2,0,1,1,2,0,0,mccaj001,R,bubik001,L,robel002,,,HP.1-2,F,F,2,7,16,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,bubik001,,,F,F
KCA202007310,CHA,2,0,1,2,2,0,0,engea001,R,bubik001,L,mccaj001,robel002,,HR/F7LD.2-H(UR);1-H,F,F,9,8,23,T,T,4,F,F,0,3,F,F,0,4,4,5,0,F,F,F,bubik001,bubik001,,F,F
KCA202007310,CHA,2,0,1,2,1,3,0,madrn001,R,bubik001,L,,,,43/G4M,F,F,4,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,0,2,1,2,3,0,andet001,R,bubik001,L,,,,S8/G6M,F,F,6,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,0,2,3,2,3,0,moncy001,R,bubik001,L,andet001,,,3/P23F/FL,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,bubik001,,,F,F
KCA202007310,CHA,2,1,0,2,2,3,0,solej001,R,keucd001,L,,,,53/G56,T,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,1,1,3,2,3,0,franm004,R,keucd001,L,,,,53/G56S,F,F,5,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,1,2,0,1,3,0,mcbrr001,R,keucd001,L,,,,E6/G6.B-1,F,F,3,6,18,T,T,0,F,F,0,0,F,F,1,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,2,1,2,3,2,3,0,gorda001,L,keucd001,L,mcbrr001,,,63/G6M+,F,F,7,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,keucd001,,,F,F
KCA202007310,CHA,3,0,0,1,2,3,0,abrej003,R,bubik001,L,,,,K,T,F,3,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,3,0,1,2,2,3,0,grany001,R,bubik001,L,,,,K,F,F,10,4,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,3,0,2,1,0,3,0,jimee001,R,bubik001,L,,,,43/G4M,F,F,7,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,3,1,0,2,0,3,0,starb001,R,keucd001,L,,,,63/G6D+,T,F,8,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,3,1,1,2,2,3,0,lopen001,L,keucd001,L,,,,S5/G6,F,F,4,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,3,1,1,2,0,3,0,merrw001,R,keucd001,L,lopen001,,,9/F9D,F,F,9,1,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,keucd001,,,F,F
KCA202007310,CHA,3,1,2,3,1,3,0,mondr003,R,keucd001,L,lopen001,,,S6/G4M.1-2,F,F,6,2,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,keucd001,,,F,F
KCA202007310,CHA,3,1,2,0,1,3,0,peres002,R,keucd001,L,mondr003,lopen001,,S7/L7.2-H;1-2,F,F,2,3,20,T,T,1,F,F,0,1,F,F,0,1,2,4,0,F,F,F,keucd001,keucd001,,F,F
KCA202007310,CHA,3,1,2,1,1,3,1,solej001,R,keucd001,L,peres002,mondr003,,SB3,F,F,10,4,4,F,F,0,F,F,0,0,F,F,0,0,1,3,0,F,T,F,keucd001,keucd001,,F,F
KCA202007310,CHA,3,1,2,3,1,3,1,solej001,R,keucd001,L,peres002,,mondr003,W.1-2,F,F,10,4,14,T,F,0,F,F,0,0,F,F,0,1,2,0,3,F,F,F,keucd001,,keucd001,F,F
KCA202007310,CHA,3,1,2,1,0,3,1,franm004,R,keucd001,L,solej001,peres002,mondr003,3/P34,F,F,5,5,2,T,T,0,F,F,1,0,F,F,0,0,1,2,3,F,F,F,keucd001,keucd001,keucd001,F,F
KCA202007310,CHA,4,0,0,3,2,3,1,robel002,R,bubik001,L,,,,43/G4,T,F,8,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,4,0,1,2,2,3,1,mccaj001,R,bubik001,L,,,,HP,F,F,2,7,16,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,4,0,1,1,0,3,1,engea001,R,bubik001,L,mccaj001,,,46(1)/FO/BP4MS.B-1,F,F,9,8,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F,bubik001,,,F,F
KCA202007310,CHA,4,0,2,1,2,3,1,madrn001,R,bubik001,L,engea001,,,64(1)/FO/G6+.B-1,F,F,4,9,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F,bubik001,,,F,F
KCA202007310,CHA,4,1,0,1,2,3,1,mcbrr001,R,keucd001,L,,,,D8/L89XD+,T,F,3,6,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,4,1,0,3,2,3,1,gorda001,L,keucd001,L,,mcbrr001,,K,F,F,7,7,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,keucd001,,F,F
KCA202007310,CHA,4,1,1,1,2,3,1,starb001,R,keucd001,L,,mcbrr001,,K,F,F,8,8,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,keucd001,,F,F
KCA202007310,CHA,4,1,2,1,0,3,1,lopen001,L,keucd001,L,,mcbrr001,,3/G3,F,F,4,9,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F,,keucd001,,F,F
KCA202007310,CHA,5,0,0,2,2,3,1,andet001,R,zubet001,R,,,,K,T,F,6,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,5,0,1,3,2,3,1,moncy001,L,zubet001,R,,,,K,F,F,5,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,5,0,2,3,2,3,1,abrej003,R,zubet001,R,,,,W,F,F,3,3,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,5,0,2,0,1,3,1,grany001,L,zubet001,R,abrej003,,,4/L34D+,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F,zubet001,,,F,F
KCA202007310,CHA,5,1,0,3,2,3,1,merrw001,R,keucd001,L,,,,43/G4,T,F,9,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,5,1,1,0,0,3,1,mondr003,R,keucd001,L,,,,43/G4MD,F,F,6,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,5,1,2,1,1,3,1,peres002,R,keucd001,L,,,,S8/F8,F,F,2,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,5,1,2,0,0,3,1,solej001,R,keucd001,L,peres002,,,S8/L8.1-2,F,F,10,4,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F,keucd001,,,F,F
KCA202007310,CHA,5,1,2,0,1,3,1,franm004,R,keucd001,L,solej001,peres002,,8/F8D,F,F,5,5,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,keucd001,keucd001,,F,F
KCA202007310,CHA,6,0,0,0,0,3,1,jimee001,R,barls001,R,,,,9/L9LD+,T,F,7,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,6,0,1,0,0,3,1,robel002,R,barls001,R,,,,8/F89+,F,F,8,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,6,0,2,3,2,3,1,mccaj001,R,barls001,R,,,,9/F9S,F,F,2,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,6,1,0,3,1,3,1,mcbrr001,R,keucd001,L,,,,HR/L78XD,T,F,3,6,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,6,1,0,0,1,3,2,gorda001,L,keucd001,L,,,,63/G4M,F,F,7,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,6,1,1,2,2,3,2,cordf003,L,cordj001,R,,,,43/G4+,F,T,11,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,6,1,2,1,2,3,2,lopen001,L,cordj001,R,,,,K,F,F,4,9,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,7,0,0,0,2,3,2,engea001,R,stauj001,R,,,,K,T,F,9,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,7,0,1,0,2,3,2,madrn001,R,stauj001,R,,,,E6/TH/G6MS.B-2,F,F,4,9,18,T,T,0,F,F,0,0,F,F,1,2,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,7,0,1,0,2,3,2,garcl004,L,stauj001,R,,madrn001,,S7/G56.2XH(72);B-2,F,T,11,1,20,T,T,1,F,F,1,0,F,F,0,2,0,0,0,F,F,F,,stauj001,,F,F
KCA202007310,CHA,7,0,2,0,1,3,2,moncy001,L,stauj001,R,,garcl004,,WP.2-3,F,F,5,2,9,F,F,0,F,F,0,0,T,F,0,0,0,3,0,F,F,F,,stauj001,,F,F
KCA202007310,CHA,7,0,2,2,2,3,2,moncy001,L,stauj001,R,,,garcl004,2/P2F/FL,F,F,5,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,3,F,F,F,,,stauj001,F,F
KCA202007310,CHA,7,1,0,0,0,3,2,merrw001,R,cordj001,R,,,,8/F8S,T,F,8,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,7,1,1,1,2,3,2,mondr003,L,cordj001,R,,,,K,F,F,6,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,7,1,2,1,1,3,2,peres002,R,cordj001,R,,,,S8/L8,F,F,2,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F,,,,F,F
KCA202007310,CHA,7,1,2,0,0,3,2,solej001,R,cordj001,R,peres002,,,HP.1-2,F,F,10,4,16,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F,cordj001,,,F,F
KCA202007310,CHA,7,1,2,0,2,3,2,franm004,R,cordj001,R,solej001,peres002,,K,F,F,5,5,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F,cordj001,cordj001,,F,F
