gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag
MIA202008052,BAL,1,0,0,0,1,0,0,albeh001,R,smitj004,R,,,,53/G56,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,1,0,1,3,2,0,0,santa003,L,smitj004,R,,,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,1,0,2,1,2,0,0,iglej001,R,smitj004,R,,,,4/P6M,F,F,10,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,1,1,0,3,0,0,0,villj001,L,wojca001,R,,,,W,T,F,6,1,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
MIA202008052,BAL,1,1,0,0,0,0,0,bertj001,R,wojca001,R,villj001,,,D7/L7LD.1-3,F,F,4,2,21,T,T,2,F,F,0,0,F,F,0,2,3,0,0,F,F,F
MIA202008052,BAL,1,1,0,0,2,0,0,dickc002,L,wojca001,R,,bertj001,villj001,K,F,F,7,3,3,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F
MIA202008052,BAL,1,1,1,0,1,0,0,aguij001,R,wojca001,R,,bertj001,villj001,9/SF/L9D.3-H;2-3,F,F,10,4,2,T,F,0,F,T,1,1,F,F,0,0,0,3,4,F,F,F
MIA202008052,BAL,1,1,2,1,1,0,1,andeb006,R,wojca001,R,,,bertj001,S8/G4.3-H,F,F,3,5,20,T,T,1,F,F,0,1,F,F,0,1,0,0,4,F,F,F
MIA202008052,BAL,1,1,2,0,1,0,2,joycm001,L,wojca001,R,andeb006,,,7/F7D,F,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,2,0,0,2,2,0,2,nuner001,R,smitj004,R,,,,S8/G4M,T,F,3,4,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
MIA202008052,BAL,2,0,0,0,1,0,2,sevep001,R,smitj004,R,nuner001,,,7/F7LD,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,2,0,1,3,0,0,2,stewd002,L,smitj004,R,nuner001,,,W.1-2,F,F,7,6,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F
MIA202008052,BAL,2,0,1,1,1,0,2,valap001,R,smitj004,R,stewd002,nuner001,,7/L7,F,F,5,7,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
MIA202008052,BAL,2,0,2,0,1,0,2,velaa001,L,smitj004,R,stewd002,nuner001,,7/F78S,F,F,6,8,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
MIA202008052,BAL,2,1,0,0,0,0,2,lavar001,R,wojca001,R,,,,8/F89,T,F,2,7,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,2,1,1,1,2,0,2,alvae001,L,wojca001,R,,,,31/G34,F,F,5,8,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,2,1,2,1,0,0,2,sierm002,L,wojca001,R,,,,3/G34,F,F,8,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,3,0,0,2,1,0,2,mullc002,L,shars001,R,,,,43/G4D,T,F,8,9,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,3,0,1,1,1,0,2,albeh001,R,shars001,R,,,,8/F89XD,F,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,3,0,2,2,1,0,2,santa003,L,shars001,R,,,,53/G56S-,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,3,1,0,2,0,0,2,villj001,L,wojca001,R,,,,5/P5DF/FL,T,F,6,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,3,1,1,1,2,0,2,bertj001,R,wojca001,R,,,,53/G56+,F,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,3,1,2,1,2,0,2,dickc002,L,wojca001,R,,,,K,F,F,7,3,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,4,0,0,0,1,0,2,iglej001,R,shars001,R,,,,D7/L7L+,T,F,10,3,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F
MIA202008052,BAL,4,0,0,3,2,0,2,nuner001,R,shars001,R,,iglej001,,K,F,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
MIA202008052,BAL,4,0,1,0,0,0,2,sevep001,R,shars001,R,,iglej001,,13/G1S-,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
MIA202008052,BAL,4,0,2,0,2,0,2,haysa001,R,morab001,L,,iglej001,,K,F,T,11,6,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
MIA202008052,BAL,4,1,0,2,0,0,2,aguij001,R,wojca001,R,,,,3/P3SF/FL,T,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,4,1,1,1,2,0,2,andeb006,R,wojca001,R,,,,K,F,F,3,5,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,4,1,2,2,2,0,2,joycm001,L,wojca001,R,,,,8/F8XD,F,F,9,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,5,0,0,3,0,0,2,valap001,R,morab001,L,,,,W,T,F,5,7,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
MIA202008052,BAL,5,0,0,1,2,0,2,velaa001,R,morab001,L,valap001,,,K,F,F,6,8,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,5,0,1,3,2,0,2,mullc002,R,morab001,L,valap001,,,K,F,F,7,9,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,5,0,2,3,2,0,2,albeh001,R,shafj001,R,valap001,,,K,F,F,4,1,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,5,1,0,2,0,0,2,lavar001,R,wojca001,R,,,,S7/L78,T,F,2,7,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
MIA202008052,BAL,5,1,0,3,2,0,2,alvae001,L,wojca001,R,lavar001,,,K,F,F,5,8,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,5,1,1,0,0,0,2,sierm002,L,wojca001,R,lavar001,,,8/L78D,F,F,8,9,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,5,1,2,3,2,0,2,villj001,L,wojca001,R,lavar001,,,S9/L89.1-3,F,F,6,1,20,T,T,1,F,F,0,0,F,F,0,1,3,0,0,F,F,F
MIA202008052,BAL,5,1,2,0,0,0,2,bertj001,R,wojca001,R,villj001,,lavar001,SB2,F,F,4,2,4,F,F,0,F,F,0,0,F,F,0,0,2,0,3,T,F,F
MIA202008052,BAL,5,1,2,1,1,0,2,bertj001,R,wojca001,R,,villj001,lavar001,53/G56,F,F,4,2,2,T,T,0,F,F,1,0,F,F,0,0,0,2,3,F,F,F
MIA202008052,BAL,6,0,0,0,0,0,2,santa003,L,shafj001,R,,,,S7/L7LS,T,F,9,2,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
MIA202008052,BAL,6,0,0,0,0,0,2,iglej001,R,shafj001,R,santa003,,,3/P3SF/FL,F,F,10,3,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,6,0,1,1,2,0,2,nuner001,R,shafj001,R,santa003,,,K,F,F,3,4,3,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
MIA202008052,BAL,6,0,2,3,2,0,2,sevep001,R,shafj001,R,santa003,,,W.1-2,F,F,2,5,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F
MIA202008052,BAL,6,0,2,2,2,0,2,haysa001,R,tarps001,L,sevep001,santa003,,S57/G56+.2-H;1-2,F,F,8,6,20,T,T,1,F,F,0,1,F,F,0,1,2,4,0,F,F,F
MIA202008052,BAL,6,0,2,2,2,1,2,valap001,R,tarps001,L,haysa001,sevep001,,9/F9D,F,F,5,7,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
MIA202008052,BAL,6,1,0,0,0,1,2,dickc002,L,scott003,L,,,,43/G34,T,F,7,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,6,1,1,2,2,1,2,aguij001,R,scott003,L,,,,13/G6MS,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,6,1,2,0,0,1,2,andeb006,R,scott003,L,,,,53/G5+,F,F,3,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,7,0,0,3,1,1,2,velaa001,R,tarps001,L,,,,W,T,F,6,8,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
MIA202008052,BAL,7,0,0,0,0,1,2,holab001,R,tarps001,L,velaa001,,,64(1)3/GDP/G6+,F,T,11,9,2,T,T,0,F,F,2,0,F,F,0,0,0,0,0,F,F,F
MIA202008052,BAL,7,0,2,0,1,1,2,albeh001,R,tarps001,L,,,,9/F9L,F,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
MIA202008060,BAL,1,0,0,1,2,0,0,albeh001,R,yamaj001,R,,,,D7/L7L,T,F,4,1,21,T,T,2,F,F,0,0,F,F,0,2,0,0,0,F,F,F
MIA202008060,BAL,1,0,0,1,2,0,0,santa003,L,yamaj001,R,,albeh001,,K,F,F,9,2,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
MIA202008060,BAL,1,0,1,1,2,0,0,iglej001,R,yamaj001,R,,albeh001,,K,F,F,6,3,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
MIA202008060,BAL,1,0,2,2,2,0,0,smitd007,L,yamaj001,R,,albeh001,,K,F,F,7,4,3,T,T,0,F,F,1,0,F,F,0,0,0,2,0,F,F,F
MIA202008060,BAL,1,1,0,0,0,0,0,villj001,R,leblw001,L,,,,HR/L7D,T,F,10,1,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F
MIA202008060,BAL,1,1,0,1,2,0,1,bertj001,R,leblw001,L,,,,7/L78XD+,F,F,6,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
