gameId,visitingTeam,inning,battingTeam,outs,balls,strikes,visScore,homeScore,resBatter,resBatterHand,resPitcher,resPitcherHand,firstRunner,secondRunner,thirdRunner,eventText,leadoffFlag,pinchhitFlag,defensivePosition,lineupPosition,eventType,batterEventFlag,abFlag,hitValue,SHFlag,SFFlag,outsOnPlay,rbiOnPlay,wildPitchFlag,passedBallFlag,numErrors,batterDest,runnerOn1stDest,runnerOn2ndDest,runnerOn3rdDest,sbForRunnerOn1stFlag,sbForRunneron2ndFlag,sbForRunnerOn3rdFlag
NYA202007310,BOS,1,0,0,3,2,0,0,pillk001,R,montj004,L,,,,K,T,F,9,1,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,1,0,1,1,2,0,0,martj006,R,montj004,L,,,,43/G4,F,F,10,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,1,0,2,0,0,0,0,dever001,L,montj004,L,,,,3/G3,F,F,5,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,1,1,0,1,2,0,0,lemad001,R,weber001,R,,,,53/G56,T,F,4,1,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,1,1,1,3,2,0,0,judga001,R,weber001,R,,,,63/G6D,F,F,9,2,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,1,1,2,3,2,0,0,torrg001,R,weber001,R,,,,S7/L7,F,F,6,3,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,1,1,2,0,1,0,0,stanm004,R,weber001,R,torrg001,,,64(1)/FO/G6+.B-1,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,2,0,0,3,1,0,0,bogax001,R,montj004,L,,,,4/P89S,T,F,6,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,2,0,1,3,1,0,0,vazqc001,R,montj004,L,,,,6/P56D,F,F,2,5,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,2,0,2,2,2,0,0,verda001,L,montj004,L,,,,13/G1S,F,F,7,6,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,2,1,0,3,2,0,0,hicka001,L,weber001,R,,,,W,T,F,8,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,2,1,0,2,2,0,0,voitl001,R,weber001,R,hicka001,,,9/F9S,F,F,3,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
NYA202007310,BOS,2,1,1,0,1,0,0,urshg001,R,weber001,R,hicka001,,,8/L89XD+,F,F,5,7,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
NYA202007310,BOS,2,1,2,3,1,0,0,gardb001,L,weber001,R,hicka001,,,W.1-2,F,F,7,8,14,T,F,0,F,F,0,0,F,F,0,1,2,0,0,F,F,F
NYA202007310,BOS,2,1,2,1,2,0,0,higak001,R,weber001,R,gardb001,hicka001,,63/G2,F,F,2,9,2,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
NYA202007310,BOS,3,0,0,1,0,0,0,chavm001,R,montj004,L,,,,HR/F7D,T,F,3,7,23,T,T,4,F,F,0,1,F,F,0,4,0,0,0,F,F,F
NYA202007310,BOS,3,0,0,0,2,1,0,bradj001,L,montj004,L,,,,K,F,F,8,8,3,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,3,0,1,1,2,1,0,peraj003,R,montj004,L,,,,S4/L4MD,F,F,4,9,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,3,0,1,0,1,1,0,pillk001,R,montj004,L,peraj003,,,S8/F8.1-2,F,F,9,1,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F
NYA202007310,BOS,3,0,1,0,0,1,0,martj006,R,montj004,L,pillk001,peraj003,,9/L89/DP.1X1(93),F,F,10,2,2,T,T,0,F,F,2,0,F,F,0,0,0,2,0,F,F,F
NYA202007310,BOS,3,1,0,0,1,1,0,lemad001,R,weber001,R,,,,S8/G2,T,F,4,1,20,T,T,1,F,F,0,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,3,1,0,0,0,1,0,judga001,R,weber001,R,lemad001,,,HR/F89XD.1-H,F,F,9,2,23,T,T,4,F,F,0,2,F,F,0,4,4,0,0,F,F,F
NYA202007310,BOS,3,1,0,0,1,1,2,torrg001,R,weber001,R,,,,53/G56,F,F,6,3,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,3,1,1,2,0,1,2,stanm004,R,weber001,R,,,,7/F78XD+,F,F,10,4,2,T,T,0,F,F,1,0,F,F,0,0,0,0,0,F,F,F
NYA202007310,BOS,3,1,2,3,1,1,2,hicka001,L,weber001,R,,,,W,F,F,8,5,14,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,3,1,2,3,2,1,2,voitl001,R,weber001,R,hicka001,,,13/G1S-,F,F,3,6,2,T,T,0,F,F,1,0,F,F,0,0,1,0,0,F,F,F
NYA202007310,BOS,4,0,0,0,0,1,2,dever001,L,montj004,L,,,,HP,T,F,5,3,16,T,F,0,F,F,0,0,F,F,0,1,0,0,0,F,F,F
NYA202007310,BOS,4,0,0,2,1,1,2,bogax001,R,montj004,L,dever001,,,S7/L78D+.1-2,F,F,6,4,20,T,T,1,F,F,0,0,F,F,0,1,2,0,0,F,F,F
NYA202007310,BOS,4,0,0,0,2,1,2,vazqc001,R,montj004,L,bogax001,dever001,,K,F,F,2,5,3,T,T,0,F,F,1,0,F,F,0,0,1,2,0,F,F,F
